,Open,High,Low,Volume,Adj Close,USD,GBP,EUR,CAD,CHF,SEK,DKK,NOK,AUD,NZD,ZAR,BHD,IDR(100),CNY,HKD,INR,PHP,SGD,KRW(100),THB,KWD,SAR,AED,MXN,TWD,answer
Open,1.0,0.7945171725364395,0.773871132577505,-0.05152896879153117,0.48710809408659766,0.5155453742549096,0.5050291978747817,0.4761476972323088,0.5827189861461866,0.3092725459015616,0.5013846991546098,0.4755712684698396,0.49912992896614217,0.6085472218997191,0.56426897150063,0.5147256969321258,0.5136406418929104,0.4191514690395022,0.5108810364507115,0.5184622503806499,0.5118778999157747,0.5079866768212508,0.6035627534754644,0.5777014911800629,0.5021474717402067,0.48569252575856986,0.5144810706467049,0.5149637067530657,0.5990848083762671,0.5213941962901251,0.0008639685601983858
High,0.7945171725364395,1.0,0.7965163313043544,0.04289670311760884,0.7723144902183541,0.4771399579070175,0.47616287094389653,0.45286633820621325,0.5585359597193683,0.2855485657491127,0.4855272996515529,0.4528059138585409,0.46047545717180044,0.5746687362844195,0.5339706855524666,0.4884385765600235,0.4750911810533555,0.3869554544478437,0.4755241126452923,0.4802689428104821,0.47369673566080733,0.46009888406370064,0.56470847793209,0.5472036847275394,0.47480079448702744,0.45746318185604834,0.4755028494564781,0.4765211843556303,0.5697684760124174,0.48431558557746873,-0.0006148664855943594
Low,0.773871132577505,0.7965163313043544,1.0,-0.20070671396535403,0.8005023191331628,0.46350198608949134,0.45552735053848836,0.44080719754760317,0.5401593322103887,0.2835069288989319,0.46359260998149515,0.4402074105742425,0.44671546766200615,0.5597990412335081,0.5177379614509962,0.48086902948457055,0.46112625905418364,0.3737151279716813,0.46034364738846295,0.46602921337287945,0.45820053375548303,0.45569288921668655,0.5557273134892631,0.5395927119858549,0.4602821892192596,0.4396488698550192,0.4650593183796594,0.46318652430985635,0.5548736083165894,0.47080005502497646,-0.005852511534468015
Volume,-0.05152896879153117,0.04289670311760884,-0.20070671396535403,1.0,-0.10083535538235558,-0.026811115429683435,-0.04534094961928867,-0.04892978546521685,-0.056407994342956014,-0.023172873921061408,-0.05676448031199558,-0.04889657640035953,-0.05604789714378859,-0.07180260092480896,-0.06393439000655732,-0.05643551479133881,-0.023288623779672835,-0.02656129474435592,-0.027825767924574113,-0.02752356202289967,-0.030392078266365842,-0.029712300925181023,-0.06966880196377656,-0.05987870142627182,-0.04122984619806433,-0.01911134543714538,-0.0325027062606243,-0.0261789677625328,-0.06599729965126361,-0.03776355956808989,0.02205159953635906
Adj Close,0.48710809408659766,0.7723144902183541,0.8005023191331628,-0.10083535538235558,1.0,0.36065117080943343,0.3629832540831689,0.35306919376418977,0.4387168149439651,0.21780830491234698,0.3758382014055672,0.35223239113254856,0.35214281852314094,0.4539229711472456,0.41369610365222453,0.39624889379946643,0.3568126299536621,0.28641689034514445,0.3602936495360955,0.3633475283596513,0.35608421903081094,0.3399743929679958,0.4392865408156796,0.4285204412696599,0.3705344312656618,0.3521468418136604,0.3614736362814789,0.36010889596433276,0.44979763344638335,0.36166743792332184,-0.012717609897212021
USD,0.5155453742549096,0.4771399579070175,0.46350198608949134,-0.026811115429683435,0.36065117080943343,1.0,0.6921723245334477,0.6168796153931706,0.7352516871951541,0.47057122786622024,0.5670855658637955,0.6173259198885516,0.5588434577903234,0.6141302908514659,0.5832783577582944,0.4917661693508633,0.9935044697737815,0.6864423593093817,0.9645569487977119,0.9974928187923711,0.8000642245024995,0.8274178228355124,0.8555804308913192,0.6661716321329276,0.7895957483713921,0.9183060559327958,0.9972913632297549,0.9980722342819146,0.6997394140015345,0.8700728790195289,0.029101729782138867
GBP,0.5050291978747817,0.47616287094389653,0.45552735053848836,-0.04534094961928867,0.3629832540831689,0.6921723245334477,1.0,0.7937936255920401,0.7418190156129136,0.6247148673440828,0.7417743601060344,0.7938004420845278,0.7331865740705688,0.7421308673269467,0.7112097519579472,0.5946803672046612,0.6859727698127004,0.5215058508158269,0.6969608822991642,0.694892850433883,0.6449255694509142,0.6295597097416316,0.7868534108846837,0.6649974020492604,0.648097732138396,0.6773157368524124,0.6916825977888148,0.6925351684366964,0.6516928494339683,0.6686169386281566,0.02173238497659617
EUR,0.4761476972323088,0.45286633820621325,0.44080719754760317,-0.04892978546521685,0.35306919376418977,0.6168796153931706,0.7937936255920401,1.0,0.7349675501935354,0.770548118013345,0.8808478975857239,0.9980646813784113,0.8458436777520038,0.7616167435300084,0.7292465416822113,0.6214322024355619,0.6117328058284601,0.4709883232040345,0.6251291555426469,0.6200135049546962,0.6050396663392011,0.572235446120889,0.784254459927927,0.6516359174400292,0.6087932229076419,0.6232780421531511,0.6160799420952792,0.6168879607801395,0.6246769207316201,0.6021509069775755,0.03069473350910999
CAD,0.5827189861461866,0.5585359597193683,0.5401593322103887,-0.056407994342956014,0.4387168149439651,0.7352516871951541,0.7418190156129136,0.7349675501935354,1.0,0.5551779722058974,0.7259275046496005,0.7341705230215312,0.7304905712721746,0.8155477403066068,0.7619605418734215,0.6532822802036004,0.7307493636230977,0.5488751611413287,0.7343260248996671,0.7385027047491772,0.6838925137697559,0.6812494075494746,0.8296542416934543,0.7210942840132576,0.6872837144437098,0.7102362229782861,0.7346784249453029,0.7357812373760525,0.7420279627334765,0.7052720734170718,0.025938692825641364
CHF,0.3092725459015616,0.2855485657491127,0.2835069288989319,-0.023172873921061408,0.21780830491234698,0.47057122786622024,0.6247148673440828,0.770548118013345,0.5551779722058974,1.0,0.6802462045110476,0.7714274875365444,0.6649774255684081,0.5715176130733566,0.5552188046806531,0.4612580931332248,0.4669863054263334,0.3745046815001483,0.47069931159927625,0.47264181203018607,0.46842188054404904,0.4391900070413899,0.5986558133671408,0.488384598163556,0.46110672268467995,0.47891881798853764,0.47054141828043183,0.4708263122888776,0.4421548374411919,0.464535688520612,0.023993817312281247
SEK,0.5013846991546098,0.4855272996515529,0.46359260998149515,-0.05676448031199558,0.3758382014055672,0.5670855658637955,0.7417743601060344,0.8808478975857239,0.7259275046496005,0.6802462045110476,1.0,0.8817677339836362,0.8638753336026294,0.7653920483301694,0.7251811881011637,0.6305077534833449,0.5626357274196762,0.4453856105193518,0.5763034804116318,0.571432210718009,0.5803270351634922,0.5423800702143892,0.7444809448723189,0.6392786147958057,0.5729549679555723,0.5718303768004691,0.566546715484497,0.5668807993543343,0.6253340998453797,0.5700686398763161,0.01405734946391828
DKK,0.4755712684698396,0.4528059138585409,0.4402074105742425,-0.04889657640035953,0.35223239113254856,0.6173259198885516,0.7938004420845278,0.9980646813784113,0.7341705230215312,0.7714274875365444,0.8817677339836362,1.0,0.8462460172284673,0.7619036464848714,0.7294559542837844,0.6211133589583492,0.6123415826144489,0.4714369601604548,0.6251797064905575,0.6203871737878316,0.6053480362449829,0.5716655389202413,0.7835787795234533,0.6509450470366517,0.6079155852806327,0.6239405022234112,0.6166414088903226,0.6174230009756645,0.6239910440615065,0.6019828457200064,0.030506454086906314
NOK,0.49912992896614217,0.46047545717180044,0.44671546766200615,-0.05604789714378859,0.35214281852314094,0.5588434577903234,0.7331865740705688,0.8458436777520038,0.7304905712721746,0.6649774255684081,0.8638753336026294,0.8462460172284673,1.0,0.7581324065787312,0.7134068461496399,0.6322391701719655,0.5547714564454435,0.45247310568625576,0.5724942238502059,0.5639063419275212,0.5757086095725695,0.5492054180261197,0.7359855580257298,0.6280476739216155,0.5743199290329359,0.5657530404407339,0.5584872652147371,0.5597216110927895,0.6244037295138111,0.5752277604795483,0.016025975805870136
AUD,0.6085472218997191,0.5746687362844195,0.5597990412335081,-0.07180260092480896,0.4539229711472456,0.6141302908514659,0.7421308673269467,0.7616167435300084,0.8155477403066068,0.5715176130733566,0.7653920483301694,0.7619036464848714,0.7581324065787312,1.0,0.8912532036558761,0.7040291675495804,0.608744056563689,0.49700392754501094,0.6265876314756709,0.6182692420587375,0.6195226356504109,0.5989078105757877,0.8104590315560033,0.7446077148572375,0.6346084511423141,0.6022797844571661,0.6160991176971817,0.6141984681080832,0.7149802771226329,0.6194047492763889,0.014983563632196644
NZD,0.56426897150063,0.5339706855524666,0.5177379614509962,-0.06393439000655732,0.41369610365222453,0.5832783577582944,0.7112097519579472,0.7292465416822113,0.7619605418734215,0.5552188046806531,0.7251811881011637,0.7294559542837844,0.7134068461496399,0.8912532036558761,1.0,0.6587955430440143,0.5778530549767815,0.4733987933402633,0.5954737185525836,0.5872660025976985,0.5899766392974639,0.5701287523865592,0.7701717124753455,0.6989921019825135,0.6057126671552926,0.5778192760645728,0.5839605024507232,0.5833391973918314,0.666886836314098,0.5950411533402885,0.017299723349469647
