,Open,High,Low,Volume,Adj Close,GBP,CAD,CHF,SEK,AUD,ZAR,IDR(100),INR,PHP,SGD,KRW(100),THB,KWD,TWD,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,"SEK_bin_(-0.068, -0.0105]","SEK_bin_(-0.0105, -0.0061]","SEK_bin_(-0.0061, -0.00346]","SEK_bin_(-0.00346, -0.00154]","SEK_bin_(-0.00154, 0.000598]","SEK_bin_(0.000598, 0.00221]","SEK_bin_(0.00221, 0.00413]","SEK_bin_(0.00413, 0.00656]","SEK_bin_(0.00656, 0.01]","SEK_bin_(0.01, 0.0825]","SGD_bin_(-0.0473, -0.00699]","SGD_bin_(-0.00699, -0.00403]","SGD_bin_(-0.00403, -0.00225]","SGD_bin_(-0.00225, -0.000917]","SGD_bin_(-0.000917, 0.000283]","SGD_bin_(0.000283, 0.00139]","SGD_bin_(0.00139, 0.00265]","SGD_bin_(0.00265, 0.00424]","SGD_bin_(0.00424, 0.00671]","SGD_bin_(0.00671, 0.0634]","Volume_bin_(-0.927, -0.512]","Volume_bin_(-0.512, -0.388]","Volume_bin_(-0.388, -0.276]","Volume_bin_(-0.276, -0.155]","Volume_bin_(-0.155, -0.0192]","Volume_bin_(-0.0192, 0.133]","Volume_bin_(0.133, 0.319]","Volume_bin_(0.319, 0.625]","Volume_bin_(0.625, 1.106]","Volume_bin_(1.106, 11.805]","Open_bin_(-0.09620000000000001, -0.0162]","Open_bin_(-0.0162, -0.00927]","Open_bin_(-0.00927, -0.00528]","Open_bin_(-0.00528, -0.00222]","Open_bin_(-0.00222, 0.000725]","Open_bin_(0.000725, 0.00342]","Open_bin_(0.00342, 0.00639]","Open_bin_(0.00639, 0.0102]","Open_bin_(0.0102, 0.0159]","Open_bin_(0.0159, 0.16]","ZAR_bin_(-0.155, -0.0148]","ZAR_bin_(-0.0148, -0.00855]","ZAR_bin_(-0.00855, -0.00494]","ZAR_bin_(-0.00494, -0.00209]","ZAR_bin_(-0.00209, 0.000603]","ZAR_bin_(0.000603, 0.00299]","ZAR_bin_(0.00299, 0.00571]","ZAR_bin_(0.00571, 0.00916]","ZAR_bin_(0.00916, 0.0142]","ZAR_bin_(0.0142, 0.129]"
Open,1.0,0.7945171725364395,0.773871132577505,-0.05152896879153117,0.48710809408659766,0.5050291978747817,0.5827189861461866,0.3092725459015616,0.5013846991546098,0.6085472218997191,0.5147256969321258,0.4191514690395022,0.5118778999157747,0.5079866768212508,0.6035627534754644,0.5777014911800629,0.5021474717402067,0.48569252575856986,0.5213941962901251,-0.025820297241772688,0.003144128029235862,0.019657692599034167,0.006128883501637025,-0.009880628870130838,-0.0036452228058465874,-0.009060444342277917,-0.016759398311527098,2.5674476542979e-06,-0.007921567306692018,0.013911091710660291,0.030561017271803426,-0.00406090280402732,0.02657816571524491,-0.015544737669709305,-0.005583217214374355,0.012250926563953685,-0.03130168411076762,-0.01476357507399566,-0.017741987245336613,-0.02480926057328038,-0.00701921742256408,0.010762125801870146,-0.009173083481128885,-0.004528322939692984,-0.005851188075755924,0.015184712191518407,-0.01705832204573525,0.003592224781098276,-0.01172380366542948,0.046303904674592083,-0.010299662292499182,-0.005537080306533585,-0.004813297119779455,-0.0026064317120328673,-0.010340921159164572,0.022779413887640976,0.0069267672242652135,0.0005412094195219318,0.019727321952516162,0.031190375708210087,0.011980174616868245,-0.006362423270529315,-0.007865001147301705,-0.012091161133230837,0.011366962964787319,0.014719582470446052,-0.006460532817303145,-0.3289873732183139,-0.07274111105050296,-0.04678176221919928,-0.004015928764040367,-0.020990170904028948,0.028066002664782524,0.04169412494395894,0.03915386694731547,0.10410132452198669,0.26063111033827985,-0.38544618050990787,-0.11672754191202335,-0.068238304576169,-0.040463494960547686,-0.008643649881144884,0.03867472558991116,0.05778122272160139,0.0813900723142098,0.11250613165827614,0.32922927744072994,0.01788309307550041,-0.003374546871084058,0.002866270500121159,0.052219949187691704,-0.013987370352104825,-0.005582168338337689,0.005972234717518965,0.019892657982560787,-0.017795110107473713,-0.05805052603092401,-0.6051501245309423,-0.2911929905678266,-0.16913132927923363,-0.09205980781194906,-0.025001027827794085,0.03931076774806019,0.10453013173939799,0.1826167711168438,0.28755806361536734,0.5686342024963126,-0.3249862570798152,-0.11041067957075443,-0.08472612918730767,-0.024657867947334766,0.014986594677928504,0.02989654528258654,0.048713772872800216,0.0771160062752146,0.13674305599456096,0.23745349986894662
High,0.7945171725364395,1.0,0.7965163313043544,0.04289670311760884,0.7723144902183541,0.47616287094389653,0.5585359597193683,0.2855485657491127,0.4855272996515529,0.5746687362844195,0.4884385765600235,0.3869554544478437,0.47369673566080733,0.46009888406370064,0.56470847793209,0.5472036847275394,0.47480079448702744,0.45746318185604834,0.48431558557746873,-0.024216728630091132,0.0018803057961288923,0.01893522656195582,0.009867245602327778,-0.009544835301382055,-0.004629399013373411,-0.013009406456177089,-0.018107393585717776,-0.00047148117476965035,-0.004928080636188453,0.011398656820552392,0.03324275546191311,0.009674359893782843,0.006737642557592604,-0.015702547515298777,-0.008125085723129876,-0.004627030627092705,-0.026186005673415193,-0.014414719106642302,-0.011760538367197048,-0.005371452674709571,-0.015989292980973045,-0.0003881856600175249,-0.02077782946183377,-0.008865060119048727,0.0006693672955143998,0.020594992798799915,-0.022875747073511168,0.009838372855877754,-0.007000776397732812,0.029441257216845377,-0.007253294199684885,0.01964680415141467,-0.007740717471160605,0.00017124085848875425,-0.030162687413537607,0.02262702577811203,0.011151901278400118,0.020848984520686568,0.015029489323411778,0.03369427910325748,0.005097334856515442,0.002731911828600395,0.008471929603816146,-0.02024185939112159,0.011433416670311313,0.018177668909626493,-0.01757733080786224,-0.34476670373564267,-0.08964390031909002,-0.0391414180679084,-0.004896793825263466,-0.0080741971246156,0.039224150731475865,0.04442670822190078,0.04747168936889358,0.11829496114852672,0.23727700021758355,-0.3929039460408867,-0.1130181890834649,-0.0682384325939311,-0.028393264595913282,-0.002152131164751325,0.029144399610393473,0.05944095184185383,0.09889894018048054,0.11934732593509664,0.29797947082432324,-0.02552680797460519,-0.036556032372137726,-0.009882830060508186,0.009244683230902068,-0.023029240877886936,-0.005171323843072823,0.021467440829921636,0.05473849334100353,0.009410553542618307,0.005327434151205356,-0.528879301700253,-0.24932350838673892,-0.11738665453528609,-0.05584917346111852,0.00016547061436757908,0.042833442512452795,0.10941213903443725,0.15587079919856273,0.23480481583685367,0.40854726782479955,-0.33865617414688715,-0.10948949055232707,-0.06857967067840552,-0.01660338706150501,0.022278420177195724,0.017238208245731964,0.04629832003300451,0.09880990676451025,0.13799568059498182,0.210908006449249
Low,0.773871132577505,0.7965163313043544,1.0,-0.20070671396535403,0.8005023191331628,0.45552735053848836,0.5401593322103887,0.2835069288989319,0.46359260998149515,0.5597990412335081,0.48086902948457055,0.3737151279716813,0.45820053375548303,0.45569288921668655,0.5557273134892631,0.5395927119858549,0.4602821892192596,0.4396488698550192,0.47080005502497646,-0.028037351479018414,0.004448770279204062,0.01650864393626904,0.009055187103235501,-0.0058428688174117695,-0.0032158760635577666,-0.013508984691638387,-0.016148334656741356,-0.0006428235105677769,-0.010124585427324693,0.017773750510874778,0.030186796106223403,0.010231749810474063,0.01927201539805936,-0.016373575971805474,0.004782491080609383,0.004226392094859498,-0.0374423781117145,-0.006514945309881812,-0.03464356827112041,-0.019548494573963182,-0.004831235571715086,0.011015810341856464,-0.011952020145687695,-0.011041797418130505,0.006287897887147252,0.012496632073718476,-0.009484153815831403,-0.009599927866830046,0.006750830411299138,0.030653511181371974,-0.005242637532760088,0.0023410466160456605,-0.001256384698189583,-0.013081465746711691,-0.02066994807179143,0.03241362835970135,0.007973489690789827,0.025248595378856084,0.0056046000926361994,0.019356619289826925,0.011704377965531598,-0.013495430817801296,0.010280260498018688,-0.0063696094353785536,-0.0025332274204350642,0.009542329319708099,-0.010557710031697802,-0.30804635684514553,-0.08546173603754728,-0.036626999398777275,-0.0006362496945694303,-0.017834545315526907,0.023819743893915526,0.04245616926788999,0.03492725747184178,0.10307532131512363,0.24444400841140387,-0.3630879704491989,-0.1124369161360964,-0.061252836985627154,-0.02659108240519423,-0.020916396690741336,0.03780538222064977,0.05329942722598782,0.07441540143299179,0.10835538777980375,0.3104678785733724,0.09220582674704104,0.053160611494579735,0.04659652408110281,0.06134094204572011,0.01013752748548598,-0.017685879397179565,0.0008374572154727688,-0.015081152014440541,-0.08238268236453176,-0.14906620478651414,-0.43941726668208875,-0.22550762029315674,-0.13363617589022658,-0.07079296368654513,-0.028338118394475323,0.0012327229502453233,0.07053974613755756,0.13294434721374795,0.21751524976088893,0.47546711776273254,-0.3029113655692673,-0.11311520820164096,-0.08107365528037683,-0.01909641824718782,0.013324683389140791,0.017257105089136353,0.04751659047011544,0.08172809420615693,0.12514356396119483,0.23134391283510822
Volume,-0.05152896879153117,0.04289670311760884,-0.20070671396535403,1.0,-0.10083535538235558,-0.04534094961928867,-0.056407994342956014,-0.023172873921061408,-0.05676448031199558,-0.07180260092480896,-0.05643551479133881,-0.02656129474435592,-0.030392078266365842,-0.029712300925181023,-0.06966880196377656,-0.05987870142627182,-0.04122984619806433,-0.01911134543714538,-0.03776355956808989,0.006747113058174025,-0.015542599974819953,-0.01902197733036284,-0.000503262002004558,0.0028615899681422303,0.009059512293690355,0.0035450874977315736,-0.0003673537473126953,0.011629501827472195,0.009886544187308732,0.00562095793960456,-0.014035830180178146,0.0011431279516169463,0.004338394153107752,-0.00544220148215348,0.02487407711092211,-0.03533646792184504,0.018267687591668344,-0.012149582244743792,0.008836701231840249,0.04218968791193698,0.0010955185399688485,0.013083651803273814,-0.007279170240638669,-0.009787218064210694,0.0032606063220559536,0.0010894881104253859,-0.011942115698473258,0.004324353631095546,0.005991033812235888,-0.006285135246058093,-0.015307072003508426,-0.008249472139157901,-0.00933635068121525,-5.739216587069259e-05,-0.005192147094667842,-0.0056900891175654025,-0.009593700217253018,-0.00612275480312779,-0.0071895552928502296,0.034287607594968725,-0.012797475851234197,0.008789973550327679,-0.05955445314685724,-0.019774189186125002,0.04739647334845539,0.001432796248396199,0.02824735455068781,0.08906521329924727,-0.0007213484234069574,-0.03335160225627869,-0.009974978287906536,-0.01517159225002416,-0.019078743417706066,-0.04493533805910483,0.009018158553717178,0.03248910431796456,-0.007433640675690142,0.11042783909399453,0.02323685838069648,-0.017956853561019757,-0.04439064425037983,-0.011799024398637411,-0.052216256086742144,-0.05182377500663901,0.0022240584917064404,0.006798784830402787,0.035337583356255683,-0.324500659892,-0.2559588650623443,-0.21102730143799878,-0.16350469580532934,-0.112923801757018,-0.056972910237032534,0.010503892940343852,0.1079227652326063,0.2566113227090556,0.7493797174027267,0.06669045301123705,0.043312299656520434,-0.005460697190214743,-0.025604087663166217,-0.04748808501399124,-0.03352340498470627,-0.01785891258322825,-0.019792728232474698,0.026497874979992085,0.01311458050359088,0.07863427292583916,0.013001731329248867,0.020897391342764363,-0.026986238729698634,-0.01934321975504476,-0.012809638044658254,-0.04018839768283156,-0.015473347534192886,-0.007366942316653543,0.009564053677250984
Adj Close,0.48710809408659766,0.7723144902183541,0.8005023191331628,-0.10083535538235558,1.0,0.3629832540831689,0.4387168149439651,0.21780830491234698,0.3758382014055672,0.4539229711472456,0.39624889379946643,0.28641689034514445,0.35608421903081094,0.3399743929679958,0.4392865408156796,0.4285204412696599,0.3705344312656618,0.3521468418136604,0.36166743792332184,-0.02045074341875999,0.0018262492859079616,0.01210393448082831,0.011046112084060589,-0.0056495782850613015,-0.0022919422309750355,-0.013569632082847387,-0.01675329888333328,-0.002943223281831152,-0.006424326014304534,0.017877510569823993,0.02580339466793072,0.024309248773155805,0.0032245827898927477,-0.013428369036252665,0.00902433226085393,-0.009904081820203631,-0.02852841277023153,-0.01125899695862891,-0.029341997429197356,0.0016456970218879327,-0.01352881118156956,0.009661970626209099,-0.02371607141979234,-0.01272937487216231,0.011149600067798903,0.016416528265152157,-0.025777532067241093,0.011732204144861702,0.000823414577577883,0.025878885567546358,-0.012515407359437111,0.02340645475744018,0.0018246318359645952,-0.01016036785399874,-0.030508121019596705,0.022111158479196456,0.012150017028567332,0.028009085851925738,0.01701697713529498,0.016745871381083,3.543180421930965e-05,-0.020113094293426947,-0.008527456145804274,-0.001602578805777104,0.0008697356740569335,0.01027348338493618,-0.0013476731672778784,-0.27293692817962534,-0.06884045702307953,-0.02014760254296222,-0.005056649704394003,-0.003377555445620019,0.03745258091907339,0.03931752851475237,0.021133175001848713,0.08595823027564241,0.18663853962365157,-0.31112488160153634,-0.0921340652795831,-0.04845442392320993,0.00020073100320290832,-0.014073153059899656,0.015383658488402986,0.05112546929674513,0.08087282861489106,0.0905390146742645,0.22775714808854697,0.04090796982312164,0.020413120567059503,0.02523583120399285,0.03174817523280393,0.004865139030888661,-0.022695652547710464,-0.002053962175140629,0.02271000293469789,-0.0356601491291807,-0.08542117841107118,-0.2968448955794531,-0.1574652271826343,-0.06852969758788018,-0.04223936249663767,0.0034102378104574047,0.010427763415590392,0.06445924764908446,0.07866443833494738,0.13882686610907422,0.26937161662366726,-0.2811976421502724,-0.08697940732363971,-0.04656740777472703,-0.008450202066425673,0.008654769488420198,0.010128464914024483,0.047865537674207106,0.07638240417121606,0.11043494726275545,0.1698835393870708
GBP,0.5050291978747817,0.47616287094389653,0.45552735053848836,-0.04534094961928867,0.3629832540831689,1.0,0.7418190156129136,0.6247148673440828,0.7417743601060344,0.7421308673269467,0.5946803672046612,0.5215058508158269,0.6449255694509142,0.6295597097416316,0.7868534108846837,0.6649974020492604,0.648097732138396,0.6773157368524124,0.6686169386281566,-0.00925323602947964,-0.0038181287505829626,0.006285591983530717,0.03383257410446729,-0.009770566461226253,-0.0028153100663165223,0.004927998683419335,-0.03190193096521421,0.0019118628208569968,-0.007826248099228097,0.013218971801076675,0.005461782970959074,0.012004314638445321,0.016251794129472096,-0.01596112294700395,0.005443296129091978,0.00987132362989107,-0.02058391094793044,-0.029951439804331046,0.004133029152655379,-0.019591297795805946,0.020466669421097834,-0.004038389114244037,-0.01057027026356139,-0.011133516770039029,0.005662404396559473,0.019209169996984805,-0.023917741781070787,-0.005747054737170774,0.01382569421148384,0.04231997995336219,0.006743974998981566,-0.00180145746449546,-0.01759471259844367,-0.0032390894055707433,-0.02246461010190513,0.01491978948166202,-0.02538082341141091,-0.019491847302878913,0.012894557356452938,0.02064847146033142,0.018204282179334126,0.014587612708553705,-0.06179822948386015,-0.034533973012872234,0.01869755368069955,0.039913318850722024,0.03531299347613584,-0.4551807055159759,-0.1878756188026047,-0.09875218884872308,-0.04099837095365964,-0.0006787412372617017,0.038910975825933586,0.06288088420764779,0.1091103633971903,0.17242549822925363,0.4002626418173181,-0.47465393166033704,-0.1879067624154911,-0.09982348792339567,-0.03388821998765258,-0.0075597122425232,0.027563410365840875,0.05942146118357676,0.09226371411812725,0.19451464482174186,0.43011820520717464,0.006718680065296636,0.02288010647774937,0.0014781064513360834,0.027511512361259604,-0.007740290382299556,0.009636628594876026,-0.012326174893606911,0.013150966181774538,-0.03364400444739621,-0.027642358304495938,-0.3105059547750086,-0.09846195034825615,-0.05147019688766168,-0.05840940446538112,-0.00552710115899993,0.03428711331659448,0.05502885998708509,0.06739703320234468,0.13318172614811777,0.23462246713820864,-0.3778890710850879,-0.1263850394270853,-0.08928588191362509,-0.03337258167441735,0.00738860320100705,0.04237798167793265,0.04277371919926885,0.10843525834568415,0.1306581524973069,0.2954630680887915
CAD,0.5827189861461866,0.5585359597193683,0.5401593322103887,-0.056407994342956014,0.4387168149439651,0.7418190156129136,1.0,0.5551779722058974,0.7259275046496005,0.8155477403066068,0.6532822802036004,0.5488751611413287,0.6838925137697559,0.6812494075494746,0.8296542416934543,0.7210942840132576,0.6872837144437098,0.7102362229782861,0.7052720734170718,-0.03615221245867756,0.011121536493623263,0.013382405666164816,0.025124956000419932,-0.0014719577829702547,-0.006574867979335696,0.00021090382522155596,-0.020849200168976085,0.00625828521030869,-0.00992973806401036,0.008630681671935661,0.009937980503914706,0.019503881248783085,0.008787039040411967,-0.00889745987315671,0.028033488787872075,0.012544803568749905,-0.016640030183405822,0.009061267841418355,-0.01219345604578075,-0.009614439434120615,0.022982998265586065,0.008705892680011637,-0.009931792679139021,-0.0050836616772982745,0.01529909658574621,-0.011843190472897598,-0.029207449860371923,-0.015253953750746521,-0.005199997969898787,0.01766762182389353,-0.0029246962270504345,-0.010423581340300367,-0.018946089498960508,-0.02087628787255758,-0.017034811103510166,0.04049628072481925,-0.01970617404290791,-0.014125338659285483,-0.0007937560496062376,0.03254973536966869,0.02094598009728393,-0.008866720990859207,-0.04960003466582532,-0.015676484545722826,0.014529044423635349,0.026606574652856853,0.022231786657579182,-0.48322742272630215,-0.15936277323078332,-0.08600219953255527,-0.046761961944360456,0.005148097896451098,0.03926049098985373,0.06734698715722308,0.09651928000921643,0.18325295743305237,0.3839743160477883,-0.5347428533288987,-0.20044430319960552,-0.1039832944529034,-0.048710149809375033,-0.010207504398623763,0.03108509425960301,0.07268546458875795,0.11480948578632584,0.21963900391968944,0.4599518845262101,0.011971499289854075,0.0205086309264046,0.013682119925719936,0.04274445909945702,-0.017071005648583236,-0.015067073481302002,0.005222634137352651,0.015174042780438041,-0.03556853620968602,-0.041563998356192546,-0.3707350388233412,-0.14049168264306577,-0.07536784729417469,-0.02918639856905352,-0.00997737033121682,0.026817083671135698,0.06885257658602616,0.0845752582485809,0.15858797519031373,0.2870393874743362,-0.4164902837574976,-0.15785833958584652,-0.0957400510154508,-0.04757716225863413,-0.004348755491452142,0.042145911782856364,0.060239656129765125,0.10470397020576191,0.18058652628083444,0.3344787953544321
CHF,0.3092725459015616,0.2855485657491127,0.2835069288989319,-0.023172873921061408,0.21780830491234698,0.6247148673440828,0.5551779722058974,1.0,0.6802462045110476,0.5715176130733566,0.4612580931332248,0.3745046815001483,0.46842188054404904,0.4391900070413899,0.5986558133671408,0.488384598163556,0.46110672268467995,0.47891881798853764,0.464535688520612,-0.017615683978243195,0.003636802189487751,0.009704696617609945,0.01049718566406715,-0.010896022425669723,-0.0012921750870166753,-0.00635028951949502,-0.025076294702322133,-0.0015356584295802985,-0.008674189331133132,0.009656776901859525,0.03859333811923652,0.015366544379104268,0.005179377415457913,-0.01677760572555025,0.0028968521404590768,0.01904009716679324,-0.02634724860513169,-0.026841364238441898,-0.017999238313898207,-0.006989297520331099,0.02809086260376498,-0.014178932199476121,-0.02483133384023455,-0.008767243079354739,0.010697225730044028,0.003127331108153159,-0.000939332550817132,0.00305424912399858,0.0153638272486588,0.027928879990948754,0.0013049450392857485,0.0065257649873007376,-0.017603321244975614,-0.011815250841555831,-0.004459102527720316,0.02445043064901254,-0.014119719944868757,-0.019022223466786937,0.00324015965639814,0.009250469349603604,0.02199907239133128,0.01743602426916394,-0.050011464107405056,-0.03669520720521908,0.0003548506190321798,0.03092862185512643,0.053464115588328934,-0.39524020807165355,-0.21964836177123032,-0.12388896559908134,-0.05664342625791548,-0.018617435476731184,0.033347725600092755,0.0801373748413006,0.12241700176185952,0.19341274951548376,0.3847927288651671,-0.3817425296828404,-0.13012307047258148,-0.07552401499514312,-0.02857429117822524,0.001109517253198643,0.014675112782227993,0.04434046642704012,0.07223002810044078,0.13590536972933595,0.3477410672438,0.0037378001161112034,0.02419300660506786,-0.002707768280712844,0.003617128662356923,-0.011207545789759634,0.0012463899013897824,0.0060160570965692405,0.005503506487683435,-0.038736556164990256,0.008324622734043205,-0.18474475459475104,-0.06785071366055062,-0.015143432229755817,-0.03781825366937069,0.0048532314354668305,0.009294777363607249,0.030076184555014016,0.05232665219530556,0.0610326485433657,0.14806155139691451,-0.28020675492121266,-0.103969969771468,-0.07675104267981431,-0.044763713826711626,-0.008137253096387811,0.04004541716343187,0.03567720592215269,0.08078907451790289,0.09914173912774628,0.2582497286293687
SEK,0.5013846991546098,0.4855272996515529,0.46359260998149515,-0.05676448031199558,0.3758382014055672,0.7417743601060344,0.7259275046496005,0.6802462045110476,1.0,0.7653920483301694,0.6305077534833449,0.4453856105193518,0.5803270351634922,0.5423800702143892,0.7444809448723189,0.6392786147958057,0.5729549679555723,0.5718303768004691,0.5700686398763161,-0.015141715979375202,-0.005916162624804313,0.014805770122814706,0.0213511618807884,-0.015292956241466796,-0.01353458605662822,0.01093977014096767,-0.018254207300352977,0.008747705178129237,-0.01679599608513709,0.005215051314053027,0.023845952089264273,0.023372889178817316,-0.015066341754858145,-0.01610828270418125,0.025059227827001214,0.02862527767902654,-0.020964422382494474,-0.010854269599673085,-0.010291167950145261,-0.0050119664153299385,0.01925571132512974,-0.009853532214559129,-0.019070586782426513,-0.011190991530602086,0.026849187115567358,0.0017478132115087508,-0.05076199210997939,-0.01034051594010417,0.0015868091804502422,0.04386599933121696,0.010507886713622658,-0.002895057318275582,0.003967080663097938,-0.01553602905809447,-0.008835158815045043,0.01418505454609804,-0.019468224202209727,-0.018959222534709073,0.005802603404387805,0.0034341248114581834,0.029950049433191878,0.010177917854792327,-0.034503498188369536,-0.029251896583323514,0.009255703315450049,0.04008036519823954,0.013036835844041032,-0.6222336688729748,-0.27959682005481756,-0.164236890662212,-0.08713877484787792,-0.022468488177144127,0.04204854996756295,0.10867826794355605,0.18219245526127978,0.2767279806701215,0.5661610175437041,-0.48733684343926764,-0.16490081643943932,-0.09224591477780666,-0.0347416353792576,-0.005950186366289008,0.013817590663395569,0.0650976129082378,0.10466449694928821,0.19178585829702377,0.4098956005437602,0.020585625857396782,0.04046017214726607,0.006133383182660153,0.012752100853461712,-0.0015169999837389351,-0.011116672850565158,0.006069133714534952,-0.00047062368935591077,-0.05132592863886612,-0.021569101434444245,-0.318636808430844,-0.11414102303587906,-0.0664188776659768,-0.034593383490956336,-0.00239371807957897,0.027728905601317706,0.054310729279262004,0.09006472450271794,0.13207811924153948,0.2321327868868167,-0.40950396502111297,-0.14849036189001608,-0.09522658183450908,-0.034244327466370815,0.002003222200910917,0.03980437511837974,0.06335696747726031,0.1051338918190145,0.1471713140319104,0.3301298370947286
AUD,0.6085472218997191,0.5746687362844195,0.5597990412335081,-0.07180260092480896,0.4539229711472456,0.7421308673269467,0.8155477403066068,0.5715176130733566,0.7653920483301694,1.0,0.7040291675495804,0.49700392754501094,0.6195226356504109,0.5989078105757877,0.8104590315560033,0.7446077148572375,0.6346084511423141,0.6022797844571661,0.6194047492763889,-0.015296386812140626,0.01679983090615053,0.009997359199363324,0.02152267026469048,-0.021952233093904275,-0.0032865050409069748,0.004826521463102583,-0.03394395274048989,0.000615212547330473,0.00721276462570135,0.0031356754550148323,0.011015530340729635,0.012983687299977677,0.002069816523406767,-0.018608971591479256,0.019474548739725258,0.028074294794611827,-0.027664693696086307,0.00962786836845011,0.005010434798781985,-0.009946317141150685,0.020366683546906555,0.00637083670360278,-0.013515149661774764,-0.002966208719494419,0.0309850719421808,-0.00743023730535645,-0.03544160211392152,-0.012754677464243722,-0.024867288722040633,0.044451617040504134,0.00573876619542084,-0.00580105505153656,-0.02277687058316602,-0.0043337320507956965,-0.017901019820812977,0.024400693010094274,-0.015622593525144904,-0.025906169401276474,0.008142860809284324,0.018878413250628907,0.017574118727981085,-0.009887682530587324,-0.04876803531202768,-0.01602042596356888,0.01985583783157984,0.02352850698228328,0.01952978032840791,-0.49830025377803416,-0.16041783749400793,-0.08314556874602283,-0.01602177560150198,-0.0026904078335649156,0.02970294765537894,0.07078115975625844,0.10289109296370216,0.1614386250764436,0.3959113407706628,-0.5218042803847087,-0.16547943733241863,-0.08853606186429788,-0.032597775011029756,0.004946672359319436,0.03845173526355106,0.0572338225912024,0.09723517789044304,0.1803792925415892,0.43027222189894143,0.017834976698639607,0.026002453296787353,0.019251164588069004,0.034981769578746026,-0.016677320951978082,-0.0006778315569234259,0.0022785087353957884,0.009967512589181429,-0.03251886584910451,-0.06039523341242816,-0.3814224446707518,-0.13349141703665754,-0.07042893666722583,-0.03227442383474225,0.0006681646461469423,0.02800159160318123,0.07061505931039531,0.0812250430424605,0.14040659053068005,0.29683093848640313,-0.455656371678051,-0.15482231141458144,-0.08754180902230088,-0.041355358004166384,0.01260210123423239,0.03559556328637226,0.058438769174631706,0.11713273235810552,0.15803835670376998,0.3577419893996299
