,USD,GBP,EUR,CAD,CHF,SEK,DKK,NOK,AUD,NZD,ZAR,BHD,IDR(100),CNY,HKD,INR,PHP,SGD,KRW(100),THB,KWD,SAR,AED,MXN,TWD,Open000001.SS,High000001.SS,Low000001.SS,Adj Close000001.SS,Open^AORD,High^AORD,Low^AORD,Adj Close^AORD,Open^AXJO,High^AXJO,Low^AXJO,Adj Close^AXJO,Open^BFX,High^BFX,Low^BFX,Adj Close^BFX,Open^BSESN,High^BSESN,Low^BSESN,Adj Close^BSESN,Open^BVSP,High^BVSP,Low^BVSP,Adj Close^BVSP,Open^DJI,High^DJI,Low^DJI,Adj Close^DJI,Open^FCHI,High^FCHI,Low^FCHI,Adj Close^FCHI,Open^GDAXI,High^GDAXI,Low^GDAXI,Adj Close^GDAXI,Open^GSPC,High^GSPC,Low^GSPC,Adj Close^GSPC,Open^GSPTSE,High^GSPTSE,Low^GSPTSE,Adj Close^GSPTSE,Open^HSI,High^HSI,Low^HSI,Adj Close^HSI,Open^IPSA,High^IPSA,Low^IPSA,Adj Close^IPSA,Open^IXIC,High^IXIC,Low^IXIC,Adj Close^IXIC,Open^JKSE,High^JKSE,Low^JKSE,Adj Close^JKSE,Open^KS11,High^KS11,Low^KS11,Adj Close^KS11,Open^MERV,High^MERV,Low^MERV,Adj Close^MERV,Open^MXX,High^MXX,Low^MXX,Adj Close^MXX,Open^N100,High^N100,Low^N100,Adj Close^N100,Open^NYA,High^NYA,Low^NYA,Adj Close^NYA,Open^RUT,High^RUT,Low^RUT,Adj Close^RUT,Open^TWII,High^TWII,Low^TWII,Adj Close^TWII,Open^VIX,High^VIX,Low^VIX,Adj Close^VIX,Open^XAX,High^XAX,Low^XAX,Adj Close^XAX,Open,High,Low,Volume,Adj Close,answer
USD,1.0,0.6923535328971777,0.6168858454829229,0.7355269842528218,0.47085435449789614,0.5671313295790626,0.6173141398094889,0.5587064649430449,0.6143026832617023,0.5834794987205076,0.4918653677752092,0.9935092267088763,0.6864291388591576,0.9639619531229827,0.9974934602927829,0.7996617056324306,0.8273907839661766,0.8555590278834855,0.6665840619007094,0.7893807877554652,0.9183692043181412,0.997293622722946,0.9980737238995415,0.6996345091790791,0.8700511360568767,0.06487812661780601,0.05550414230185102,0.060433552458573396,0.046737421415919245,0.04298057301893835,0.044422136701591466,0.047578334315033693,0.0458176836573855,0.045410642253640734,0.04640482577621304,0.04989665911899978,0.04758114361581007,0.24262282127077442,0.18586613871325877,0.17152486741373418,0.09243556117145825,0.19219399454981448,0.1377996813502102,0.1445561639438851,0.06954386984240402,0.1630877635469605,0.12083502583020819,0.10813842845926794,0.04693599646624493,0.3157324219523751,0.2005843559901667,0.18333829704625712,0.020087016168697402,0.2718152892264321,0.21864799822889638,0.19974100518118224,0.11346436035957098,0.17068414856496827,0.1257684152391539,0.13384532147651518,0.0633941193189829,0.31007302055557573,0.20449290510692378,0.18669641266016285,0.024996915462871253,0.1535253275899467,0.1721346987150689,0.12827823245024675,0.06721125216060878,0.21207820385143952,0.15882453328418714,0.16723123024421377,0.10897784389849915,0.15377315556922827,0.13597900719697092,0.1055556704105325,0.09036050215181332,0.20454783793325812,0.16542851981307374,0.1536968104092534,0.02394022367317733,0.133855327242745,0.10854577129898173,0.11320584367770692,0.06302077184151098,0.20377211234172904,0.16824401475607445,0.17822142057621287,0.11727461827972689,0.11720555859917571,0.09962930226783111,0.07825928269078516,0.03618142881467006,0.20398660734932583,0.12856488511303918,0.11557059410646021,0.049250490176562293,0.2615857841599043,0.2010688780647649,0.1908161779716116,0.11247742066058297,0.2612546055933578,0.18451702495839528,0.17264956039762366,0.035279094768760795,0.25717037023792544,0.16611331535699814,0.167492164189182,0.014994626891449977,0.11474993704246508,0.09108894673232718,0.0945486152292544,0.0636868640798735,-0.16732233170418276,-0.07133058307068622,-0.1424009679781611,-0.015089861725307147,0.1590506415868189,0.12838665679289493,0.04152213250699799,0.04887642027259178,0.5151065979167633,0.47685611044186693,0.46329719505895656,-0.026811078688805404,0.36067934272665425,0.02922462462893722
GBP,0.6923535328971777,1.0,0.7939126953259636,0.7421829042526401,0.6246829662742736,0.74195341885924,0.7939392451416676,0.7331901672713886,0.7425215352966871,0.7114532195955343,0.5946504001259018,0.6861370258551319,0.521136743234232,0.697019831255434,0.695078221075739,0.6448155357445258,0.629457948350575,0.7871902621139666,0.6652970544851398,0.6484775921664052,0.6774616231742434,0.6918586523266473,0.6927146494705527,0.6517514648903114,0.6684788900419069,0.05243345931534818,0.038672627718889185,0.043039881462053384,0.029414642983446083,0.034656256607974494,0.030949740806830627,0.04267257323212152,0.03919686254549691,0.03850377666551052,0.03382685701336462,0.046067999318991915,0.041753879060030606,0.26613827999625045,0.21597407614836978,0.19296767686620994,0.12147356517352624,0.19038073797000407,0.1405609778464979,0.1612138124064164,0.07691417046689682,0.2641078090072097,0.19152511822863394,0.18752347879936682,0.08670624295773309,0.3808996231607435,0.2511917423210657,0.2483375543783674,0.044698794332081196,0.30650358501416863,0.25154608113792126,0.23174442769247208,0.14284186371224172,0.1931195211750541,0.14127423301974953,0.15182451930877805,0.08177316427470505,0.38284849615318156,0.2628055880014505,0.253801054035003,0.053689984924451366,0.24982513569629136,0.27556570046283935,0.22362482596907468,0.11108058728497747,0.2657048014098258,0.20390496323945306,0.21801200007131927,0.15257156872786462,0.20017391173172366,0.16524431094495012,0.14831890424456096,0.124761054412697,0.24432749089071726,0.20823583789677924,0.20194215736805662,0.05293151990805022,0.13226035349616663,0.13713087756852896,0.15581362185615102,0.10907420561959744,0.23669069640276538,0.1884691579412668,0.2043609575444273,0.1291866626947231,0.21151461430494264,0.17309997434604651,0.15599945362675785,0.08871910617931716,0.2953739498042537,0.20907307435439512,0.2133200692580023,0.10970294364444454,0.2850013737884798,0.22486648832859182,0.21478288769155118,0.14099443220877844,0.39110827784554464,0.2740641064791643,0.27300750531813506,0.07565218847148218,0.32298349877420524,0.23151686435650476,0.22991605276895874,0.05354844755696759,0.12024210565487832,0.09354186392972495,0.10508900542862044,0.07113754668545107,-0.20916400622824355,-0.11436806544176512,-0.17272146510411962,-0.03666926875985163,0.3756982697886854,0.26757577948522443,0.07300805306261247,0.10084968165414483,0.5049216557759398,0.47605672300522134,0.4553216314841325,-0.045139181803882926,0.3628036168186561,0.021151298664050574
EUR,0.6168858454829229,0.7939126953259636,1.0,0.7354741651083927,0.770209848734808,0.8810919659316717,0.9980642369107927,0.8460326042800992,0.7624024248300831,0.729803006254896,0.6221136547279738,0.6117118228474135,0.47081066348283107,0.6252393486175731,0.6200237725944702,0.6049610162002178,0.5720012844569773,0.7846348128614888,0.6519236994277642,0.6093526508197369,0.6232608188160637,0.6160689248373844,0.6168834372209088,0.6252428875932782,0.6019814034552302,0.056372006941745274,0.04604007196889525,0.053501741231641864,0.0441780404854682,0.039406950774561474,0.03848827141606567,0.05067262596124133,0.04862132024571048,0.04361251795373649,0.04120736073069929,0.05518366060441085,0.05184771688349766,0.2607551406131356,0.20243055444652594,0.18565564954274608,0.11065538009856221,0.1885515110353835,0.14094107106951942,0.1683388557456073,0.07876538979595052,0.25518941340717,0.18631336948830843,0.19257505532059235,0.09470879738841975,0.37490551768217995,0.24601505085519643,0.2504798656911515,0.03991813957464,0.30058725961178884,0.23777648468080015,0.21891374296478958,0.13179944281190825,0.18132403811661016,0.12922697377929562,0.13795891346792105,0.07245562988035059,0.381097900528663,0.25915749705907437,0.2607748740220397,0.051087239466173835,0.23418184516126672,0.2582607941671145,0.24139487023234013,0.1265785523355342,0.2655392243999477,0.20762984943133106,0.23308311643579796,0.16914917739667237,0.1988311588693572,0.15222345303862458,0.15254147226093248,0.12050155559063029,0.23479569300239359,0.19708132087753608,0.20439709621407431,0.051304280469797514,0.11929066194181658,0.1364356552938769,0.1654386076292621,0.12453932995799531,0.22751441622032972,0.1794878369323965,0.1957839981002546,0.12682959834366336,0.217274474463945,0.1733859348992493,0.162052655992993,0.09086635537531138,0.2919081412014258,0.20848709379677535,0.21313177897866628,0.1107563020724104,0.26889916719444806,0.2037752719290362,0.1947376989067554,0.12495014629168538,0.39091797415480456,0.277969472894888,0.28690277474841064,0.07719688218262417,0.3197361534293695,0.22273336408930297,0.23763422969185818,0.05008894812781517,0.1225311336629694,0.09875857993983027,0.11384103021626735,0.08134454243659334,-0.210260607914684,-0.11004974556308617,-0.1774251853243018,-0.030410758310835295,0.3600152269849779,0.2625828769817616,0.07117300326871578,0.10452565992329713,0.4759046223051948,0.45266818850301793,0.4406336063624249,-0.049176363283952786,0.35299209966727035,0.029944724878940857
CAD,0.7355269842528218,0.7421829042526401,0.7354741651083927,1.0,0.555715605556642,0.7262631804572905,0.7346764331512243,0.7305921510765919,0.815424770610202,0.7619329766791647,0.6536977783675874,0.7310271560919568,0.548821313714609,0.7344461495490555,0.7387778546425756,0.6835583289866853,0.6812718779063887,0.8300038798181661,0.7217008677209648,0.6870218180031373,0.7106176967713039,0.7349628992036449,0.7360426369582672,0.7423705330411157,0.705315343674956,0.08557526202634631,0.07488233224022305,0.07938302892052207,0.06733906761858792,0.0745849474079032,0.07138803554952712,0.08515063546637464,0.07690082077233636,0.07957844056631184,0.07533315427116238,0.09012206341762381,0.08009715784280572,0.35986389289359844,0.2892930702385855,0.26745870708835945,0.15401896621592717,0.2759314878078526,0.22021891722734363,0.2333242961116418,0.13749614712718042,0.3431582327733233,0.2519025837132247,0.253810007305737,0.11061002892930454,0.5040582554721534,0.32118734193591875,0.32081671921902255,0.038783970689801384,0.41474636664173303,0.3402883319845148,0.31705755476853514,0.18223424497876178,0.27057022455293755,0.19982189271757522,0.21032250442798306,0.10671888656955743,0.509260339053724,0.33599263441520993,0.3306832204919248,0.049653668358163344,0.3155215290323817,0.331098710714274,0.2820639982331851,0.12684955708347162,0.3245544177472953,0.2570485151337378,0.2762221924594133,0.1976209934485349,0.27480456405099324,0.23280734723711216,0.1904726020136024,0.157120119240042,0.33566205735847054,0.26469532034497684,0.2682494917679437,0.04966987025311069,0.20975483754094856,0.2177652605533922,0.24095099551489305,0.1775390266689976,0.3052628853216043,0.2556862269585081,0.28029304951908146,0.19162797709332485,0.277278197765493,0.2307299103443326,0.20024309188509254,0.1160147594965314,0.3878831209351365,0.26659480791147455,0.2689755079620202,0.11491255542530271,0.3863334835216615,0.30686438063602006,0.2926882944914685,0.17873834039043326,0.48894925989063875,0.3425923218034969,0.33419202264047926,0.07392009262159602,0.4408428998829786,0.2990432643293405,0.3096298146517152,0.043369267729105675,0.18016029895131705,0.14970395703153633,0.1641456866474718,0.12260299409852889,-0.2834402422176289,-0.14945167797101985,-0.2142503904460971,-0.030809937612324378,0.4564820332561927,0.33764138925026616,0.11777546904226419,0.11739545419839217,0.5820768349797754,0.5580178303188947,0.539638746806694,-0.05629082639374447,0.4384458014938224,0.025970851533948944
CHF,0.47085435449789614,0.6246829662742736,0.770209848734808,0.555715605556642,1.0,0.6800888572210579,0.7711117215644858,0.6648831000417645,0.5719018999255215,0.5556020101150442,0.4612775657619675,0.46727191262807555,0.3742682006187901,0.47056163882601454,0.4729189450813002,0.4685170690060975,0.4391902317141266,0.5989149759160529,0.48871187494566054,0.4615888803484728,0.479099256090238,0.4708251253446666,0.47110764354944357,0.4423083203008484,0.4645419793652764,0.043403352196748825,0.031946736850865395,0.0407226109340569,0.030005878404381046,0.022807811672071604,0.01958207015334613,0.028039581073870258,0.023544476934063488,0.02464059133869711,0.020258723406088024,0.03019579997595889,0.025003323345193926,0.13805382311900113,0.10629049172669588,0.09529348742461798,0.05161735461589083,0.10788607977090667,0.061247899628982916,0.09276952006657267,0.02063775155856666,0.15683377263646084,0.10963960657841794,0.12378459098341342,0.07254285725194227,0.2127005231987203,0.13352537300165526,0.13552209584371533,0.017713231878140005,0.16287205282923164,0.12504207368618403,0.1192361387051667,0.06241282537482213,0.09606298096604739,0.0663618186117329,0.07188831510961032,0.033505768123659206,0.21611572822057426,0.14263351125892115,0.14328107424890024,0.02818192836838298,0.13647630185281617,0.1678584065676106,0.13568750070187816,0.08948200338639078,0.17049309590252612,0.1258336657718143,0.15005112954368427,0.10303593492895469,0.12561737149666552,0.07487220826857781,0.09208409332723068,0.06567700283035639,0.10720365512232011,0.0977542163540943,0.10140577068459743,0.028045240766702954,0.06563972355315059,0.07381402913789134,0.09588422537814927,0.06373876530810252,0.11994461587499312,0.09025579604293411,0.1063914124592845,0.05830262515489625,0.15331760223440435,0.11439053543402021,0.1122804866724008,0.06878556371579049,0.1740507935910074,0.11975431665561524,0.11970500661595546,0.07498120273912333,0.13964520052803295,0.09775637148442416,0.10551821779975179,0.05951231188940151,0.2561562548211027,0.17956822879478893,0.1710400435003262,0.0473351519806418,0.1647024984506595,0.11474536489911627,0.12459745395957592,0.028320687551613374,0.0724264668675357,0.05721597069304852,0.06494276232916166,0.04305190828279019,-0.10609987402245685,-0.053238955590802314,-0.09793245926997782,-0.014958315459876843,0.2412157769937904,0.17958125049480986,0.056331700187290085,0.0792994925502363,0.3093291619982042,0.28557025820397,0.28341798876073176,-0.02283531959315193,0.21766254057653842,0.02378554746849071
SEK,0.5671313295790626,0.74195341885924,0.8810919659316717,0.7262631804572905,0.6800888572210579,1.0,0.882015484779611,0.8639347646255067,0.7657541059324335,0.7253741732864565,0.6312366295330358,0.5626652800873613,0.44489353745901317,0.5766163999073138,0.571485950297466,0.5800037875246424,0.5421739401493475,0.7449583451998856,0.63973516310356,0.5734195079181353,0.5718889541881821,0.5665943261073846,0.5669208185190835,0.6260554262080961,0.5698831461987579,0.07263215999087905,0.058265342075451365,0.0685616616188167,0.05506463765827522,0.05028481059980759,0.051224042823739116,0.06273364763838206,0.05906984326400412,0.055083466834203294,0.055105441920547234,0.06741740355165715,0.06277927717748602,0.32163489591946665,0.25558419790750414,0.23682730903859178,0.14330677319018265,0.24310935332929068,0.18679417674220536,0.2015404148419028,0.10027543281276882,0.30993543989276917,0.22038987903980164,0.2204503472859646,0.09887776412151984,0.45968368665536896,0.2999020170632029,0.2899583090010961,0.03968582274041295,0.3712106450508505,0.29727016794898653,0.2716768817804108,0.157112376065416,0.2324253666665961,0.1710305758503502,0.1763106403977865,0.09244800180898495,0.4633950510912665,0.3136343459028876,0.3027997145078575,0.051105368809846854,0.2955161070867151,0.32384640773186296,0.28846711266831515,0.12918722791131967,0.313049333487412,0.24880181605790022,0.2719125358789876,0.19734897022943965,0.2384813568291219,0.18668633059388065,0.16032179892684698,0.13375959107743543,0.2870159580457263,0.24112066358582837,0.23913914855792986,0.05069979902922226,0.14815611306739127,0.17946323563350652,0.20500755197440157,0.15862031918751315,0.28185515390391797,0.22829027616676206,0.24641591351516184,0.1689498700768926,0.2740466830375685,0.22115300159432652,0.1942647264664314,0.10512451883592235,0.3520165469217759,0.2470676119795985,0.25018746235610106,0.11806619957286753,0.3367980701809477,0.260176660892269,0.24361703943685245,0.15267706041508414,0.4665908186934929,0.3236569360587181,0.32223139350463625,0.0755560033536787,0.3900082424533554,0.2686984339697071,0.27183306295507276,0.042071178199840506,0.17109585577000538,0.14621259797533404,0.1560265064852699,0.1206812614689715,-0.24701606804767018,-0.13106815986980538,-0.19494813467760366,-0.038683401827361685,0.43419808970162105,0.312048633975255,0.09614836497924116,0.10612437841451539,0.5010522347774994,0.48518080028535576,0.4631942688905647,-0.05665004397200237,0.3754855363302924,0.01365143965527791
DKK,0.6173141398094889,0.7939392451416676,0.9980642369107927,0.7346764331512243,0.7711117215644858,0.882015484779611,1.0,0.8464848381965695,0.7626898050459642,0.7300506749504423,0.6217750570746721,0.6123009113764042,0.4711685161400123,0.6252320346717692,0.6203787537085143,0.6052712386845616,0.5714021541396849,0.7839468475676584,0.6512230359645391,0.6084816500401089,0.623896053330143,0.6166119744154456,0.6174013358795278,0.624524643323949,0.6017613281102786,0.05721056616048957,0.046654374405099126,0.05388362838934517,0.044230794258632536,0.03832515531675636,0.03741558466465691,0.049547863877321754,0.047523351450274524,0.04245815060536218,0.04013736006493937,0.05401246513147359,0.05066968190416892,0.25945789948140763,0.20166758486175818,0.1844797766262595,0.10936282094916354,0.18620235939644278,0.13916736542617025,0.16601309444810292,0.07742705273150925,0.2558586175676745,0.1863610320721469,0.19413530282820518,0.09433533523807479,0.37564594563596965,0.24462120005932123,0.24978330325568993,0.03740499080244943,0.2995324994736189,0.23775373855332166,0.21851858037190944,0.13142653687388992,0.18001945175145556,0.12822808815220385,0.13735029900223283,0.07161325496138224,0.38178923303929463,0.25790548066771257,0.2597993486065715,0.04859791258536487,0.23564798229168452,0.2577831308721802,0.24136031886928908,0.12212420348584943,0.26456273188236035,0.20544619817922602,0.23110470430518723,0.1663861005248604,0.19647944444268187,0.15095336467039372,0.15298964836565254,0.12037750116883615,0.23511044488850674,0.19719099505965254,0.20329630143269908,0.04991598145242739,0.11763565264473883,0.13445296667545972,0.16290742102212574,0.12220627113242208,0.2271172060618698,0.17810235275000927,0.19509776497022333,0.12504938590610065,0.21678436490287367,0.173637363497489,0.16317610049784345,0.09126460834143321,0.2932851893555456,0.20778124716359261,0.21345253891476926,0.10910870028891294,0.26809814658117115,0.2035754535399757,0.194087862684656,0.12447095221501019,0.3909971943117802,0.2763371839401175,0.2853220466100316,0.07456114432783414,0.3202862982140686,0.22285489531227237,0.23595724102113735,0.04825392481822756,0.12192699182592989,0.09732814708423548,0.11294609541314389,0.0795887038961572,-0.21042086097545265,-0.1096108031468913,-0.177697703583159,-0.02979157822159633,0.36003504586003604,0.26139314785532003,0.07016534257402202,0.10220058144882137,0.4753704072702826,0.45264093154774543,0.44007261587744406,-0.049177935586936145,0.3521802442258115,0.02978549846109444
NOK,0.5587064649430449,0.7331901672713886,0.8460326042800992,0.7305921510765919,0.6648831000417645,0.8639347646255067,0.8464848381965695,1.0,0.7583436331065202,0.7135651147809762,0.6321950352495692,0.5545949357704312,0.45161040135437525,0.572374733818091,0.5637713275527266,0.5753029084429568,0.5487706398871018,0.73611623556008,0.6280630414257693,0.5746595901843965,0.565571529076984,0.5583470547183247,0.5595863413765118,0.6243364693668181,0.574571810221862,0.08001614904588529,0.06225220354585074,0.07143262935699476,0.055097378605931786,0.04526837813790368,0.04336578184910651,0.05170521073786939,0.04833670241076297,0.05037226711013266,0.04725578546008407,0.05603388714619104,0.051958440560596106,0.29978034334429676,0.23082773675187532,0.20981196775811115,0.12117391867794103,0.2229341062719872,0.16269559140819878,0.1790477998351278,0.08886214464065155,0.31492850215808793,0.21823897107937132,0.20796814703572195,0.10097241450547541,0.43303151769460113,0.283630046660016,0.25564632071443566,0.03469662248968339,0.3418618048202359,0.26477634990735777,0.24397410386296972,0.13830146325740672,0.2100422732401826,0.15194370891788037,0.1538227750629829,0.08192735751878998,0.4327598405926741,0.2916647197068712,0.26577841990177015,0.04518433918095194,0.27317151650455684,0.30614047126151583,0.25790599488287647,0.11262303445594198,0.3018205906950886,0.23509108569234094,0.2554752932622727,0.1824818284517321,0.22971650986532255,0.17475318672646994,0.15478549322307428,0.12637462353770235,0.2528268119484361,0.21493527344133034,0.20934428349007383,0.045919564242410595,0.1568689062366597,0.17351127400914296,0.19068584872115052,0.14384414396299766,0.26367218606341286,0.2064700527853526,0.21939005602350953,0.14234560842368207,0.27713971826383704,0.20941095521357556,0.17398243537102226,0.0915347837955,0.34827940656485373,0.23872970979529504,0.23528353129736335,0.10920740683538248,0.311305798903757,0.2355462621621226,0.2201596372523458,0.13532105066019592,0.44773677380585475,0.3078301403830777,0.28808390377935317,0.06676545857144527,0.3536706907224372,0.24421097663491823,0.23791549963526792,0.038092230982789764,0.13913360270989483,0.11341997704348716,0.12144756177850054,0.08509776084828057,-0.24456382703958912,-0.1275509547041173,-0.19069326102085116,-0.03285953381264977,0.43119114734955244,0.3149355903615724,0.07309440687747823,0.10668381505549733,0.49883988162102993,0.46019040792709814,0.4464275699645655,-0.05627837989993676,0.3519377303866554,0.015402744867784271
AUD,0.6143026832617023,0.7425215352966871,0.7624024248300831,0.815424770610202,0.5719018999255215,0.7657541059324335,0.7626898050459642,0.7583436331065202,1.0,0.8911952612490222,0.7039463656543838,0.6088858992971545,0.49720145018380724,0.6268752495354849,0.6184387841516878,0.6193896063884925,0.5987263312810588,0.810770963295324,0.7449162488439101,0.6343958764502041,0.6025064693629658,0.6162635301185745,0.6143672859127263,0.7148285857647555,0.6193600441321782,0.10111862617303399,0.08426432312624192,0.09491074287559859,0.0765877998216733,0.0828276570215936,0.08091974104527878,0.09657864327371643,0.08710064074288228,0.0891675988758787,0.0856500461441768,0.10319019159994357,0.09172045685637484,0.3874774469971938,0.3146780301515938,0.2965160548634088,0.1820180859066031,0.3053479056567098,0.23995186249133552,0.2660715243937816,0.1455686220665094,0.41032624746570695,0.3089244144880814,0.29546368011286367,0.1318921698577945,0.5543848364322027,0.3652776569618264,0.3615531086294086,0.053819939037364824,0.4427958218423476,0.3692907061531131,0.3488028475896084,0.21315291506657552,0.2833086125851142,0.21530284455562268,0.22792498178092185,0.12347346859216717,0.5634078079755157,0.37901847161245306,0.37211030851621146,0.06290532840807082,0.36679615184850417,0.4018047012906092,0.33392320438516515,0.16427209399579656,0.3730706147510367,0.2948989592849579,0.3276896318913047,0.23775901200609628,0.30433208043554066,0.26373200391612966,0.2208236829834561,0.19022241595740907,0.3689435279643957,0.2937909070147913,0.29696894191224155,0.055537006640942285,0.23816781358451444,0.2506159414984878,0.27122593841246195,0.2086861080542891,0.3438369421005657,0.27786404080954996,0.30697815630715924,0.19816945813208278,0.3123523036323814,0.2761033194072739,0.22862749483635575,0.13762338253502004,0.4466806598003146,0.31476319284665416,0.302758224798092,0.13190309735210387,0.4114161003363321,0.3297832437922659,0.3168448478496774,0.20793932527943304,0.5417659000149645,0.38584576347968713,0.38088059724907886,0.09316480416333077,0.4865697754592033,0.3308134966660127,0.3403014904256529,0.05144151453539739,0.21091665819591882,0.16929372915842134,0.18999487187030345,0.14005058500443449,-0.30882286776830997,-0.16147197749145545,-0.2211014926446619,-0.02651337461925794,0.51013940982567,0.3814938809462009,0.11325741521627855,0.14492950030481686,0.6080103125333958,0.5742672915826861,0.5594551651571725,-0.07206011807623564,0.45384310535984046,0.014547925527394126
NZD,0.5834794987205076,0.7114532195955343,0.729803006254896,0.7619329766791647,0.5556020101150442,0.7253741732864565,0.7300506749504423,0.7135651147809762,0.8911952612490222,1.0,0.6582461168231679,0.5780181287896391,0.4729829478051732,0.5956503328778135,0.5874565634607752,0.5897814067558692,0.5699293466063708,0.7703821275289691,0.6992055838163881,0.605569241020816,0.578019069050458,0.5841567464609566,0.5835384591270335,0.6665007072446404,0.594766280157939,0.08505878414252092,0.07071905234903901,0.07823497643032927,0.06339603493827187,0.0748167672437714,0.0755361049551043,0.09039902008129082,0.08158885477528298,0.08027255129608633,0.0798857833604065,0.09616217792840032,0.08550771816395436,0.3645932180153966,0.2978933819551292,0.275127572148643,0.16552245128853565,0.2946202560173134,0.24043496886153162,0.2586784964582705,0.15172938364470304,0.3775138617000566,0.2704320716835849,0.25657298131248485,0.10290873679567472,0.515409471162091,0.3412273161651794,0.32426802570028546,0.05205594897320683,0.41565313086572625,0.34046743793251194,0.3182845195935996,0.18672665487478224,0.2649955209709236,0.2001273919728138,0.20827116793030315,0.11105658765870954,0.525121313324354,0.3558264877115925,0.33666928428262155,0.061218721177212186,0.32454019178713656,0.3571250029638675,0.2976753108891245,0.1417357863007962,0.35838275259699526,0.286833611511776,0.31301749811680935,0.2308405813520878,0.28631911151626876,0.23617617951559772,0.20772741943044723,0.16784796896419088,0.3340381145874285,0.27469059329884843,0.2680658082476242,0.0577738233872616,0.2287265872537403,0.23641406645238608,0.26028414591058135,0.19568857689067942,0.3174001311732219,0.2555786156330748,0.2803971468303841,0.17784578631762274,0.27523257245948285,0.2398643216865391,0.19080939743365607,0.11318358024424455,0.4148890376729538,0.2904494309518732,0.27731249163661653,0.12210641202899987,0.3825708480979133,0.3032951290246295,0.2879079002019539,0.18318908608801238,0.5025720138046322,0.355327193106572,0.3437638084265397,0.08551956446331166,0.4474430179058128,0.3083988609424923,0.3102554515946214,0.05204553110618902,0.18565204358335805,0.15160851490546523,0.16909310386991536,0.12620129783539027,-0.2906630623996715,-0.14304304062450948,-0.2107273615770655,-0.025163236716907008,0.4696876187886781,0.35097232600240186,0.09828128973397023,0.126157858400999,0.5639177146120228,0.5336743801599827,0.5175080068753959,-0.06437864121240393,0.41364007900606425,0.017325077483768696
