Date,Open,High,Low,Adj Close*
2004/2/23,10865,10880,10825,10825
2004/2/24,10640,10665,10610,10665
2004/2/25,10700,10735,10680,10735
2004/2/26,10825,10865,10785,10865
2004/2/27,11030,11110,11015,11050
2004/3/1,11320,11380,11290,11380
2004/3/2,11380,11430,11350,11390
2004/3/3,11400,11400,11280,11340
2004/3/4,11435,11490,11430,11490
2004/3/5,11520,11690,11455,11685
2004/3/8,11540,11595,11445,11460
2004/3/9,11505,11545,11400,11495
2004/3/10,11480,11480,11300,11315
2004/3/11,11195,11245,11060,11060
2004/3/12,11170,11290,11120,11280
2004/3/15,11235,11270,11170,11205
2004/3/16,11180,11230,11150,11210
2004/3/17,11405,11570,11395,11555
2004/3/18,11370,11450,11325,11440
2004/3/19,11390,11410,11320,11320
2004/3/22,11200,11230,11075,11105
2004/3/23,11210,11300,11140,11285
2004/3/24,11255,11385,11240,11380
2004/3/25,11540,11780,11540,11720
2004/3/26,11740,11895,11690,11820
2004/3/29,11765,11930,11760,11930
2004/3/30,11765,11775,11625,11760
2004/3/31,11765,11815,11720,11750
2004/4/1,11730,11820,11710,11785
2004/4/2,11865,12050,11850,12040
2004/4/5,11970,12085,11960,12075
2004/4/6,12080,12100,12020,12090
2004/4/7,12060,12060,11905,12000
2004/4/8,12080,12125,11990,12035
2004/4/12,12120,12195,12085,12150
2004/4/13,12190,12240,12015,12055
2004/4/14,12060,12100,11975,12080
2004/4/15,11835,11920,11730,11760
2004/4/16,11740,11940,11740,11940
2004/4/19,11735,11800,11725,11775
2004/4/20,12000,12035,11860,11885
2004/4/21,11890,12045,11875,12040
2004/4/22,11970,12185,11945,12170
2004/4/23,12190,12190,12100,12140
2004/4/26,12190,12205,12135,12135
2004/4/27,12090,12130,12050,12060
2004/4/28,11975,12080,11730,11735
2004/4/29,11785,11830,11640,11640
2004/4/30,11720,11740,11540,11555
2004/5/3,11620,11645,11525,11545
2004/5/4,11650,11720,11650,11650
2004/5/5,11660,11765,11625,11765
2004/5/6,11550,11550,11425,11515
2004/5/7,11475,11530,11375,11380
2004/5/10,10885,10910,10770,10825
2004/5/11,10930,10990,10915,10960
2004/5/12,11030,11070,10860,11070
2004/5/13,10875,10930,10810,10830
2004/5/14,10770,10850,10755,10785
2004/5/17,10445,10525,10410,10505
2004/5/18,10670,10735,10660,10710
2004/5/19,10955,11030,10870,10875
2004/5/20,10850,10935,10785,10875
2004/5/21,11020,11060,10870,11020
2004/5/24,11125,11185,11015,11030
2004/5/25,10955,11195,10915,11170
2004/5/26,11150,11210,11135,11165
2004/5/27,11220,11280,11190,11270
2004/5/28,11290,11330,11280,11300
2004/6/1,11195,11305,11195,11305
2004/6/2,11280,11340,11225,11340
2004/6/3,11090,11150,11020,11020
2004/6/4,11150,11240,11145,11230
2004/6/7,11415,11525,11395,11505
2004/6/8,11490,11570,11465,11560
2004/6/9,11440,11460,11350,11355
2004/6/10,11555,11590,11525,11590
2004/6/14,11465,11465,11395,11425
2004/6/15,11415,11545,11415,11470
2004/6/16,11605,11640,11570,11630
2004/6/17,11590,11630,11535,11550
2004/6/18,11460,11505,11430,11495
2004/6/21,11600,11615,11550,11550
2004/6/22,11565,11665,11515,11665
2004/6/23,11655,11715,11530,11715
2004/6/24,11740,11765,11710,11750
2004/6/25,11815,11820,11750,11760
2004/6/28,11910,11935,11840,11870
2004/6/29,11830,11900,11830,11890
2004/6/30,11910,11985,11890,11980
2004/7/1,11870,11885,11720,11735
2004/7/2,11740,11740,11635,11635
2004/7/6,11560,11590,11345,11365
2004/7/7,11430,11460,11410,11445
2004/7/8,11390,11390,11230,11260
2004/7/9,11405,11435,11385,11425
2004/7/12,11570,11570,11410,11475
2004/7/13,11555,11725,11535,11725
2004/7/14,11700,11700,11355,11380
2004/7/15,11350,11420,11325,11355
2004/7/16,11390,11430,11310,11325
2004/7/19,11355,11385,11260,11305
2004/7/20,11255,11365,11250,11360
2004/7/21,11410,11450,11220,11225
2004/7/22,11250,11305,11130,11255
2004/7/23,11210,11210,11055,11085
2004/7/26,11135,11140,11080,11090
2004/7/27,11080,11195,11075,11195
2004/7/28,11245,11260,11130,11245
2004/7/29,11170,11250,11150,11235
2004/7/30,11275,11320,11250,11310
2004/8/2,11200,11285,11185,11280
2004/8/3,11175,11210,11115,11115
2004/8/4,11025,11110,11010,11080
2004/8/5,11100,11115,10905,10930
2004/8/6,10960,10970,10720,10735
2004/8/9,10845,10885,10845,10855
2004/8/10,10950,11030,10945,10995
2004/8/11,11005,11020,10940,11000
2004/8/12,11020,11020,10910,10910
2004/8/13,10765,10910,10715,10730
2004/8/16,10690,10835,10675,10835
2004/8/17,10745,10815,10745,10770
2004/8/18,10710,10855,10690,10850
2004/8/19,10870,10900,10815,10845
2004/8/20,10865,11005,10835,10995
2004/8/23,11000,11060,10975,10985
2004/8/24,11035,11080,10960,10985
2004/8/25,11120,11245,11070,11220
2004/8/26,11200,11205,11110,11115
2004/8/27,11180,11230,11170,11200
2004/8/30,11165,11180,11130,11145
2004/8/31,11100,11160,11050,11110
2004/9/1,11150,11185,11120,11160
2004/9/2,11135,11245,11130,11240
2004/9/3,11045,11115,11030,11075
2004/9/7,11250,11380,11250,11345
2004/9/8,11290,11330,11255,11260
2004/9/9,11155,11215,11155,11160
2004/9/10,11080,11120,11050,11120
2004/9/13,11255,11340,11240,11270
2004/9/14,11270,11290,11230,11290
2004/9/15,11170,11170,11070,11085
2004/9/16,11095,11140,11080,11130
2004/9/17,11100,11120,11055,11090
2004/9/20,11080,11140,11020,11120
2004/9/21,11090,11135,11075,11125
2004/9/22,11020,11020,10905,10915
2004/9/23,10935,10940,10885,10900
2004/9/24,10840,10925,10835,10885
2004/9/27,10855,10875,10810,10825
2004/9/28,10830,10905,10805,10880
2004/9/29,10815,10885,10790,10875
2004/9/30,10900,10905,10820,10850
2004/10/1,10840,11125,10840,11125
2004/10/4,11320,11365,11305,11325
2004/10/5,11305,11310,11240,11240
2004/10/6,11365,11430,11325,11410
2004/10/7,11375,11385,11280,11310
2004/10/8,11340,11370,11235,11255
2004/10/11,11300,11305,11265,11305
2004/10/12,11160,11195,11120,11175
2004/10/13,11200,11260,11100,11100
2004/10/14,11035,11065,10940,10945
2004/10/15,10955,11045,10955,11005
2004/10/18,10975,11070,10950,11055
2004/10/19,11060,11120,10990,10990
2004/10/20,10845,10900,10810,10875
2004/10/21,10805,10890,10790,10880
2004/10/22,10835,10855,10745,10760
2004/10/25,10640,10705,10630,10665
2004/10/26,10670,10750,10670,10750
2004/10/27,10700,10865,10690,10860
2004/10/28,10780,10865,10745,10820
2004/10/29,10760,10780,10710,10735
2004/11/1,10745,10820,10740,10775
2004/11/2,10920,10960,10870,10930
2004/11/3,11020,11050,10970,11015
2004/11/4,10930,11105,10930,11105
2004/11/5,11060,11135,11040,11105
2004/11/8,11020,11030,10980,11025
2004/11/9,10975,11020,10970,10980
2004/11/10,11035,11080,11020,11035
2004/11/11,10920,10970,10865,10950
2004/11/12,10860,11080,10860,11065
2004/11/15,11190,11255,11170,11255
2004/11/16,11160,11180,11115,11150
2004/11/17,11150,11250,11145,11185
2004/11/18,11130,11140,11090,11130
2004/11/19,11115,11120,10925,10950
2004/11/22,10875,10890,10835,10890
2004/11/23,10905,10915,10825,10875
2004/11/24,10855,10870,10815,10850
2004/11/26,10890,10920,10860,10860
2004/11/29,10980,10985,10895,10930
2004/11/30,10870,10890,10820,10860
2004/12/1,10830,10980,10825,10975
2004/12/2,10975,11075,10950,11075
2004/12/3,11100,11105,11000,11000
2004/12/6,10945,10985,10925,10975
2004/12/7,10920,10940,10805,10815
2004/12/8,10895,10990,10895,10990
2004/12/9,10805,10865,10740,10835
2004/12/10,10815,10860,10775,10815
2004/12/13,10810,10885,10810,10885
2004/12/14,10920,10990,10895,10975
2004/12/15,10930,10950,10865,10890
2004/12/16,10955,10960,10920,10930
2004/12/17,11030,11055,10990,11010
2004/12/20,11145,11155,11105,11115
2004/12/21,11130,11220,11130,11215
2004/12/22,11255,11285,11230,11285
2004/12/23,11260,11275,11240,11250
2004/12/27,11360,11390,11310,11325
2004/12/28,11450,11530,11435,11525
2004/12/29,11455,11510,11450,11485
2004/12/30,11495,11515,11425,11450
2004/12/31,11480,11520,11465,11505
2005/1/3,11520,11560,11445,11455
2005/1/4,11520,11530,11420,11420
2005/1/5,11430,11440,11380,11380
2005/1/6,11540,11540,11475,11500
2005/1/7,11480,11515,11430,11440
2005/1/10,11440,11505,11430,11470
2005/1/11,11520,11530,11465,11495
2005/1/12,11445,11500,11385,11430
2005/1/13,11390,11425,11365,11390
2005/1/14,11430,11485,11370,11485
2005/1/18,11495,11530,11415,11525
2005/1/19,11430,11450,11350,11360
2005/1/20,11365,11365,11190,11245
2005/1/21,11275,11340,11205,11250
2005/1/24,11255,11315,11250,11260
2005/1/25,11305,11375,11295,11320
2005/1/26,11360,11430,11360,11385
2005/1/27,11320,11370,11320,11335
2005/1/28,11315,11335,11265,11310
2005/1/31,11380,11425,11375,11390
2005/2/1,11390,11455,11375,11450
2005/2/2,11435,11480,11425,11470
2005/2/3,11400,11410,11355,11390
2005/2/4,11330,11415,11305,11405
2005/2/7,11485,11530,11480,11530
2005/2/8,11500,11560,11490,11520
2005/2/9,11465,11520,11400,11405
2005/2/10,11530,11565,11510,11555
2005/2/11,11540,11660,11540,11645
2005/2/14,11660,11675,11635,11660
2005/2/15,11645,11700,11625,11650
2005/2/16,11605,11615,11555,11580
2005/2/17,11615,11625,11535,11540
2005/2/18,11680,11710,11650,11695
2005/2/22,11580,11665,11465,11490
2005/2/23,11475,11540,11465,11535
2005/2/24,11530,11610,11505,11610
2005/2/25,11670,11745,11655,11725
