"日付け","終値","始値","高値","安値","出来高","前日比%"
"2018年09月13日","2.694","2.680","2.708","2.675","-","1.32%"
"2018年09月12日","2.659","2.599","2.667","2.599","0.26K","2.11%"
"2018年09月11日","2.604","2.607","2.635","2.566","0.94K","-0.27%"
"2018年09月10日","2.611","2.598","2.615","2.586","0.94K","0.31%"
"2018年09月07日","2.603","2.602","2.631","2.581","0.91K","-0.61%"
"2018年09月06日","2.619","2.608","2.647","2.608","0.84K","1.04%"
"2018年09月05日","2.592","2.584","2.602","2.582","0.79K","0.35%"
"2018年09月04日","2.583","2.648","2.654","2.564","1.37K","-2.75%"
"2018年09月03日","2.656","2.669","2.679","2.653","-","-0.45%"
"2018年09月02日","2.668","2.663","2.674","2.663","-","0.72%"
"2018年08月31日","2.649","2.675","2.687","2.642","3.25K","-1.56%"
"2018年08月30日","2.691","2.708","2.712","2.655","20.09K","-0.66%"
"2018年08月29日","2.709","2.712","2.713","2.704","0.25K","-0.91%"
"2018年08月28日","2.734","2.740","2.743","2.721","0.42K","0.07%"
"2018年08月27日","2.732","2.727","2.741","2.716","-","0.18%"
"2018年08月26日","2.727","2.716","2.728","2.716","-","1.04%"
"2018年08月24日","2.699","2.648","2.708","2.648","0.26K","1.77%"
"2018年08月23日","2.652","2.642","2.655","2.641","0.80K","-0.60%"
"2018年08月22日","2.668","2.675","2.677","2.664","0.57K","-0.78%"
"2018年08月21日","2.689","2.672","2.691","2.672","0.65K","0.98%"
"2018年08月20日","2.663","2.658","2.663","2.652","0.69K","1.49%"
"2018年08月17日","2.624","2.624","2.631","2.623","0.42K","0.38%"
"2018年08月16日","2.614","2.582","2.624","2.582","0.29K","2.23%"
"2018年08月15日","2.557","2.670","2.670","2.562","0.94K","-4.41%"
"2018年08月14日","2.675","2.681","2.681","2.675","0.83K","-1.73%"
"2018年08月13日","2.722","2.713","2.733","2.713","0.34K","-0.37%"
"2018年08月10日","2.732","2.747","2.752","2.732","0.26K","-0.87%"
"2018年08月09日","2.756","2.798","2.798","2.754","0.45K","0.58%"
"2018年08月08日","2.740","2.740","2.742","2.739","0.44K","-0.58%"
"2018年08月07日","2.756","2.727","2.766","2.723","-","1.29%"
"2018年08月06日","2.721","2.740","2.740","2.700","0.62K","-1.16%"
"2018年08月03日","2.753","2.700","2.752","2.700","0.39K","0.95%"
"2018年08月02日","2.727","2.730","2.735","2.708","0.62K","-0.29%"
"2018年08月01日","2.735","2.815","2.815","2.720","0.80K","-2.98%"
"2018年07月31日","2.819","2.782","2.822","2.769","0.76K","1.44%"
"2018年07月30日","2.779","2.793","2.796","2.750","1.10K","-0.61%"
"2018年07月27日","2.796","2.810","2.834","2.781","-","-0.29%"
"2018年07月26日","2.804","2.842","2.842","2.789","0.63K","-0.07%"
"2018年07月25日","2.806","2.793","2.844","2.793","0.68K","0.21%"
"2018年07月24日","2.800","2.736","2.792","2.736","0.37K","2.30%"
"2018年07月23日","2.737","2.748","2.749","2.730","0.78K","-0.33%"
"2018年07月20日","2.746","2.679","2.749","2.679","0.60K","2.23%"
"2018年07月19日","2.686","2.756","2.756","2.670","0.89K","-2.40%"
"2018年07月18日","2.752","2.747","2.756","2.710","0.66K","0.44%"
"2018年07月17日","2.740","2.760","2.773","2.736","0.65K","-0.62%"
"2018年07月16日","2.757","2.773","2.779","2.740","1.04K","-0.47%"
"2018年07月13日","2.770","2.775","2.776","2.753","0.68K","0.07%"
"2018年07月12日","2.768","2.728","2.780","2.722","0.55K","1.28%"
"2018年07月11日","2.733","2.818","2.818","2.715","0.54K","-3.39%"
"2018年07月10日","2.829","2.811","2.830","2.810","0.50K","-0.35%"
"2018年07月09日","2.839","2.849","2.859","2.834","0.88K","0.92%"
"2018年07月06日","2.813","2.818","2.820","2.785","0.55K","-0.04%"
"2018年07月05日","2.814","2.909","2.909","2.811","1.05K","-1.81%"
"2018年07月04日","2.866","2.922","2.940","2.837","-","-1.38%"
"2018年07月03日","2.906","2.930","2.942","2.897","1.33K","-0.89%"
"2018年07月02日","2.932","2.954","2.956","2.909","1.74K","-0.64%"
"2018年06月29日","2.951","2.951","2.981","2.942","4.93K","-0.10%"
"2018年06月28日","2.954","2.978","2.981","2.930","10.59K","-1.20%"
"2018年06月27日","2.990","2.965","2.995","2.965","0.25K","-0.23%"
"2018年06月26日","2.997","2.990","3.000","2.990","0.45K","0.17%"
"2018年06月25日","2.992","3.018","3.018","2.991","0.56K","-1.35%"
"2018年06月22日","3.033","3.030","3.033","3.030","0.46K","0.26%"
"2018年06月21日","3.025","3.043","3.043","3.029","0.30K","-0.69%"
"2018年06月20日","3.046","3.044","3.050","3.044","0.38K","0.00%"
"2018年06月19日","3.046","3.043","3.061","3.043","0.51K","-1.84%"
"2018年06月18日","3.103","3.136","3.136","3.092","0.35K","-1.21%"
"2018年06月15日","3.141","3.203","3.204","3.130","0.49K","-2.33%"
"2018年06月14日","3.216","3.224","3.225","3.211","0.40K","-0.99%"
"2018年06月13日","3.248","3.251","3.251","3.245","0.55K","0.15%"
"2018年06月12日","3.243","3.240","3.240","3.240","0.37K","-0.25%"
"2018年06月11日","3.251","3.281","3.281","3.244","0.64K","-1.28%"
"2018年06月08日","3.293","3.246","3.293","3.246","0.42K","0.76%"
"2018年06月07日","3.268","3.268","3.297","3.252","0.38K","0.40%"
"2018年06月06日","3.255","3.199","3.259","3.199","0.58K","2.01%"
"2018年06月05日","3.191","3.138","3.204","3.138","0.42K","2.05%"
"2018年06月04日","3.127","3.102","3.130","3.096","0.36K","1.16%"
"2018年06月01日","3.091","3.057","3.089","3.049","0.92K","1.08%"
"2018年05月31日","3.058","3.063","3.066","3.047","0.84K","-0.03%"
"2018年05月30日","3.059","3.044","3.062","3.000","1.70K","0.23%"
"2018年05月29日","3.052","3.073","3.080","3.056","0.52K","-0.55%"
"2018年05月28日","3.069","3.083","3.092","3.030","-","-0.45%"
"2018年05月27日","3.083","3.080","3.085","3.078","-","0.52%"
"2018年05月25日","3.067","3.095","3.095","3.065","0.40K","-0.62%"
"2018年05月24日","3.086","3.058","3.090","3.058","1.02K","0.82%"
"2018年05月23日","3.061","3.090","3.090","3.037","0.75K","-1.86%"
"2018年05月22日","3.119","3.100","3.133","3.100","0.51K","1.07%"
"2018年05月21日","3.086","3.061","3.090","3.061","0.49K","1.15%"
"2018年05月18日","3.051","3.050","3.069","3.045","0.39K","-0.84%"
"2018年05月17日","3.077","3.071","3.077","3.061","0.71K","0.62%"
"2018年05月16日","3.058","3.035","3.061","3.035","0.69K","0.53%"
"2018年05月15日","3.042","3.078","3.078","3.022","1.00K","-1.20%"
"2018年05月14日","3.079","3.075","3.086","3.071","0.70K","-0.52%"
"2018年05月11日","3.095","3.091","3.104","3.091","0.49K","0.10%"
"2018年05月10日","3.092","3.043","3.094","3.043","0.76K","1.74%"
"2018年05月09日","3.039","3.033","3.045","3.033","0.51K","-0.07%"
"2018年05月08日","3.041","3.058","3.070","2.998","0.79K","-0.59%"
"2018年05月07日","3.059","3.055","3.083","3.045","0.58K","-0.23%"
"2018年05月04日","3.066","3.063","3.080","3.046","0.69K","0.23%"
"2018年05月03日","3.059","3.045","3.094","3.041","0.53K","0.39%"
"2018年05月02日","3.047","3.033","3.058","3.028","1.04K","1.06%"
"2018年05月01日","3.015","3.049","3.053","2.998","1.49K","-1.24%"
"2018年04月30日","3.053","3.051","3.066","3.033","2.71K","0.23%"
"2018年04月27日","3.046","3.116","3.120","3.029","12.51K","-2.15%"
"2018年04月26日","3.113","3.126","3.126","3.126","0.32K","-0.61%"
"2018年04月25日","3.132","3.130","3.130","3.127","0.43K","-0.22%"
"2018年04月24日","3.139","3.147","3.147","3.132","0.29K","1.00%"
"2018年04月23日","3.108","3.085","3.107","3.085","0.32K","-0.73%"
"2018年04月20日","3.131","3.106","3.140","3.106","0.28K","0.10%"
"2018年04月19日","3.128","3.120","3.120","3.120","0.35K","-0.82%"
