"日付け","終値","始値","高値","安値","出来高","前日比%"
"2018年09月13日","101.60","101.80","102.45","101.20","-","3.83%"
"2018年09月12日","97.85","96.80","97.80","96.80","0.00K","1.72%"
"2018年09月11日","96.20","97.30","97.30","97.30","0.00K","-5.13%"
"2018年09月10日","101.40","102.30","103.30","101.15","-","-1.07%"
"2018年09月07日","102.50","103.03","103.70","101.20","-","4.65%"
"2018年09月06日","97.95","99.05","99.05","99.05","0.00K","-5.36%"
"2018年09月05日","103.50","101.65","103.90","101.45","-","5.88%"
"2018年09月04日","97.75","96.35","96.35","95.60","0.00K","-3.67%"
"2018年08月31日","101.47","102.62","103.33","101.28","-","2.55%"
"2018年08月30日","98.95","98.35","98.35","98.35","0.01K","0.30%"
"2018年08月29日","98.65","99.20","99.20","99.20","0.01K","-0.60%"
"2018年08月28日","99.25","101.70","102.25","100.20","0.03K","-2.55%"
"2018年08月27日","101.85","101.95","102.20","101.95","0.09K","1.29%"
"2018年08月24日","100.55","98.35","101.05","98.35","0.03K","3.45%"
"2018年08月23日","97.20","96.40","98.25","96.15","0.28K","0.83%"
"2018年08月22日","96.40","97.20","98.30","95.45","12.01K","-1.58%"
"2018年08月21日","97.95","97.50","98.95","96.90","13.35K","0.72%"
"2018年08月20日","97.25","101.20","101.75","96.95","15.58K","-3.90%"
"2018年08月17日","101.20","102.30","102.55","100.25","11.69K","-0.49%"
"2018年08月16日","101.70","102.65","103.55","101.30","16.03K","-0.68%"
"2018年08月15日","102.40","105.35","105.55","102.10","28.29K","-2.52%"
"2018年08月14日","105.05","106.15","106.95","105.05","37.56K","-1.13%"
"2018年08月13日","106.25","107.05","107.25","104.35","46.20K","-0.70%"
"2018年08月10日","107.00","107.20","107.60","106.40","43.34K","-0.60%"
"2018年08月09日","107.65","107.80","108.40","106.85","29.13K","-0.19%"
"2018年08月08日","107.85","108.85","108.90","106.65","38.06K","-1.10%"
"2018年08月07日","109.05","108.55","110.25","108.45","47.05K","0.28%"
"2018年08月06日","108.75","107.65","110.15","107.20","24.43K","0.93%"
"2018年08月03日","107.75","107.05","108.75","106.70","26.84K","0.98%"
"2018年08月02日","106.70","108.05","108.05","106.00","32.64K","-1.25%"
"2018年08月01日","108.05","109.70","110.40","107.70","34.48K","-1.68%"
"2018年07月31日","109.90","111.40","111.80","109.55","29.68K","-1.35%"
"2018年07月30日","111.40","110.50","113.40","109.65","34.16K","0.86%"
"2018年07月27日","110.45","109.50","110.85","108.70","21.09K","0.82%"
"2018年07月26日","109.55","111.35","111.70","109.25","21.19K","-1.31%"
"2018年07月25日","111.00","111.05","112.00","109.90","12.84K","0.05%"
"2018年07月24日","110.95","111.75","113.20","110.15","21.61K","-0.63%"
"2018年07月23日","111.65","111.05","113.00","110.70","23.94K","0.90%"
"2018年07月20日","110.65","108.30","111.05","108.10","17.12K","1.91%"
"2018年07月19日","108.58","108.03","109.42","107.33","-","3.80%"
"2018年07月18日","104.60","105.80","105.80","105.80","0.00K","-1.04%"
"2018年07月17日","105.70","106.55","106.55","106.55","0.05K","-4.27%"
"2018年07月16日","110.42","109.97","111.25","108.83","-","3.15%"
"2018年07月13日","107.05","108.15","108.25","107.15","0.01K","-4.18%"
"2018年07月12日","111.72","112.38","113.33","111.42","-","2.31%"
"2018年07月11日","109.20","108.50","109.35","108.35","0.01K","-2.46%"
"2018年07月10日","111.95","111.80","111.80","111.80","0.00K","-2.30%"
"2018年07月09日","114.58","114.35","115.17","112.62","-","2.99%"
"2018年07月06日","111.25","106.20","108.25","106.20","0.00K","4.66%"
"2018年07月05日","106.30","106.30","106.30","106.30","0.01K","-1.89%"
"2018年07月03日","108.35","109.75","109.75","108.45","0.00K","0.51%"
"2018年07月02日","107.80","108.45","109.10","107.65","0.13K","-3.32%"
"2018年06月29日","111.50","112.55","112.65","112.55","0.02K","-0.58%"
"2018年06月28日","112.15","112.00","112.00","112.00","0.02K","-1.88%"
"2018年06月27日","114.30","114.80","114.80","113.70","0.01K","-0.44%"
"2018年06月26日","114.80","114.55","115.80","114.05","0.03K","0.57%"
"2018年06月25日","114.15","113.75","114.35","113.50","0.04K","0.26%"
"2018年06月22日","113.85","113.75","114.15","113.40","0.04K","1.11%"
"2018年06月21日","112.60","113.75","113.75","112.00","0.32K","-0.92%"
"2018年06月20日","113.65","114.10","114.80","113.35","11.21K","-0.39%"
"2018年06月19日","114.10","114.30","114.35","112.65","13.00K","-0.31%"
"2018年06月18日","114.45","115.40","115.80","114.30","10.40K","-0.65%"
"2018年06月15日","115.20","115.65","115.65","114.60","17.16K","-0.43%"
"2018年06月14日","115.70","116.50","117.15","115.55","32.07K","-0.56%"
"2018年06月13日","116.35","117.20","117.25","116.20","28.77K","-0.85%"
"2018年06月12日","117.35","117.05","117.95","116.75","26.63K","0.21%"
"2018年06月11日","117.10","117.25","118.05","116.25","44.33K","-0.13%"
"2018年06月08日","117.25","116.05","117.45","115.65","41.92K","1.34%"
"2018年06月07日","115.70","118.25","118.65","115.65","48.60K","-2.16%"
"2018年06月06日","118.25","119.30","119.85","118.20","28.57K","-1.00%"
"2018年06月05日","119.45","121.15","121.55","119.15","33.65K","-1.69%"
"2018年06月04日","121.50","122.55","123.15","120.90","35.55K","-1.02%"
"2018年06月01日","122.75","123.90","124.95","122.35","36.14K","-0.77%"
"2018年05月31日","123.70","120.40","124.05","120.25","32.67K","2.83%"
"2018年05月30日","120.30","119.75","122.20","119.75","38.34K","0.04%"
"2018年05月29日","120.25","119.80","120.50","119.35","17.87K","-0.12%"
"2018年05月25日","120.40","120.60","120.70","119.10","12.51K","-0.12%"
"2018年05月24日","120.55","119.70","121.00","119.45","21.64K","1.01%"
"2018年05月23日","119.35","120.40","120.80","118.60","19.57K","-1.24%"
"2018年05月22日","120.85","120.55","121.45","119.55","26.84K","0.54%"
"2018年05月21日","120.20","118.00","120.60","117.85","25.92K","5.48%"
"2018年05月18日","113.95","113.95","113.95","113.95","0.00K","0.09%"
"2018年05月17日","113.85","113.85","113.85","113.85","-","0.53%"
"2018年05月16日","113.25","114.50","114.50","112.45","0.00K","0.31%"
"2018年05月15日","112.90","114.75","114.75","113.20","0.00K","-0.66%"
"2018年05月14日","113.65","113.65","113.65","113.65","-","-1.39%"
"2018年05月11日","115.25","115.35","116.40","115.10","0.02K","-0.90%"
"2018年05月10日","116.30","116.30","116.30","116.30","-","0.69%"
"2018年05月09日","115.50","115.50","115.50","115.50","0.01K","-0.90%"
"2018年05月08日","116.55","116.55","116.55","116.55","0.00K","-1.40%"
"2018年05月07日","118.20","119.55","119.55","118.45","0.01K","-1.87%"
"2018年05月04日","120.45","120.45","120.45","120.45","0.00K","-1.43%"
"2018年05月03日","122.20","122.45","122.45","122.45","0.00K","0.49%"
"2018年05月02日","121.60","122.75","122.75","122.75","0.00K","-0.82%"
"2018年05月01日","122.60","122.85","122.85","122.85","0.00K","1.62%"
"2018年04月30日","120.65","120.05","120.80","120.05","0.02K","0.25%"
"2018年04月27日","120.35","119.80","120.30","119.15","0.02K","2.34%"
"2018年04月26日","117.60","117.60","117.60","117.60","0.05K","0.64%"
"2018年04月25日","116.85","117.75","117.75","116.00","0.02K","-1.39%"
"2018年04月24日","118.50","117.00","118.50","116.65","0.09K","1.28%"
"2018年04月23日","117.00","116.30","117.10","116.30","0.32K","1.08%"
"2018年04月20日","115.75","115.00","115.25","114.45","0.63K","1.31%"
