"日付け","終値","始値","高値","安値","出来高","前日比%"
"2018年09月13日","353.00","354.75","355.75","352.75","-","3.37%"
"2018年09月12日","341.50","354.25","354.50","340.50","0.41K","-3.87%"
"2018年09月11日","355.25","357.25","357.25","354.75","0.29K","-0.07%"
"2018年09月10日","355.50","353.25","356.00","353.00","1.26K","-2.94%"
"2018年09月09日","366.25","366.50","366.75","366.25","-","3.39%"
"2018年09月07日","354.25","352.75","355.75","351.00","0.69K","0.21%"
"2018年09月06日","353.50","353.50","354.50","350.75","2.16K","0.50%"
"2018年09月05日","351.75","356.00","356.00","351.00","3.51K","-0.78%"
"2018年09月04日","354.50","351.50","355.25","347.25","4.87K","-3.08%"
"2018年09月03日","365.75","365.25","366.00","365.25","-","4.20%"
"2018年08月31日","351.00","341.00","352.00","340.75","17.11K","2.93%"
"2018年08月30日","341.00","341.50","344.00","340.50","122.61K","-0.07%"
"2018年08月29日","341.25","341.00","344.00","340.25","113.20K","0.07%"
"2018年08月28日","341.00","345.75","347.75","340.75","143.20K","-1.66%"
"2018年08月27日","346.75","348.50","348.75","343.00","139.29K","-0.50%"
"2018年08月24日","348.50","346.50","350.00","346.25","124.75K","0.50%"
"2018年08月23日","346.75","353.00","355.00","346.25","144.61K","-1.63%"
"2018年08月22日","352.50","359.25","359.25","352.25","102.51K","-2.02%"
"2018年08月21日","359.75","362.75","363.75","358.50","98.59K","-0.62%"
"2018年08月20日","362.00","365.25","366.00","359.50","88.31K","-0.62%"
"2018年08月17日","364.25","365.00","367.75","361.75","82.45K","-0.27%"
"2018年08月16日","365.25","361.50","367.50","360.50","79.36K","1.04%"
"2018年08月15日","361.50","362.25","363.50","359.00","102.54K","-0.21%"
"2018年08月14日","362.25","356.50","363.00","356.50","101.21K","1.61%"
"2018年08月13日","356.50","357.50","358.00","352.25","178.69K","-0.35%"
"2018年08月10日","357.75","368.50","369.75","357.00","182.40K","-3.11%"
"2018年08月09日","369.25","371.00","372.75","366.50","148.24K","-0.54%"
"2018年08月08日","371.25","370.50","373.75","370.00","123.37K","0.13%"
"2018年08月07日","370.75","371.00","373.25","368.75","167.09K","-0.07%"
"2018年08月06日","371.00","370.00","371.75","368.25","80.95K","0.34%"
"2018年08月03日","369.75","366.75","371.25","364.75","77.99K","0.82%"
"2018年08月02日","366.75","365.00","372.75","364.75","161.08K","0.48%"
"2018年08月01日","365.00","372.00","373.00","364.00","120.05K","-1.95%"
