"日付け","終値","始値","高値","安値","出来高","前日比%"
"2018年09月11日","1,201.30","1,200.40","1,202.40","1,192.70","-","0.08%"
"2018年09月10日","1,200.30","1,201.30","1,203.80","1,196.50","-","-0.08%"
"2018年09月09日","1,201.30","1,200.60","1,202.10","1,200.30","-","0.65%"
"2018年09月07日","1,193.60","1,198.30","1,198.30","1,193.10","0.03K","-0.36%"
"2018年09月06日","1,197.90","1,202.00","1,202.00","1,198.30","0.01K","0.25%"
"2018年09月05日","1,194.90","1,192.50","1,196.00","1,192.50","0.02K","0.18%"
"2018年09月04日","1,192.70","1,199.30","1,200.50","1,189.90","0.03K","-1.13%"
"2018年09月03日","1,206.30","1,204.90","1,209.60","1,201.30","-","0.12%"
"2018年09月02日","1,204.90","1,206.20","1,206.60","1,204.50","-","0.38%"
"2018年08月31日","1,200.30","1,207.10","1,208.20","1,199.10","0.19K","0.22%"
"2018年08月30日","1,197.70","1,205.40","1,205.60","1,196.00","0.49K","-0.56%"
"2018年08月29日","1,204.50","1,205.20","1,205.20","1,202.40","0.03K","-0.24%"
"2018年08月28日","1,207.40","1,209.70","1,217.00","1,202.30","0.14K","-0.13%"
"2018年08月27日","1,209.00","1,210.30","1,211.40","1,205.20","0.15K","0.22%"
"2018年08月24日","1,206.30","1,185.30","1,208.00","1,185.30","0.01K","1.63%"
"2018年08月23日","1,187.00","1,189.30","1,190.30","1,184.90","0.10K","-0.78%"
"2018年08月22日","1,196.30","1,194.70","1,196.20","1,194.70","0.02K","0.31%"
"2018年08月21日","1,192.60","1,189.80","1,190.50","1,189.80","0.02K","0.49%"
"2018年08月20日","1,186.80","1,184.80","1,190.00","1,184.40","0.07K","0.88%"
"2018年08月17日","1,176.50","1,174.70","1,181.20","1,174.70","0.07K","0.03%"
"2018年08月16日","1,176.20","1,173.20","1,180.20","1,161.40","0.12K","-0.11%"
"2018年08月15日","1,177.50","1,187.80","1,188.10","1,174.60","0.07K","-1.30%"
"2018年08月14日","1,193.00","1,193.10","1,197.50","1,192.80","0.09K","0.14%"
"2018年08月13日","1,191.30","1,207.00","1,207.40","1,191.60","0.08K","-1.63%"
