"日付け","終値","始値","高値","安値","出来高","前日比%"
"2018年09月13日","2.849","2.819","2.852","2.817","-","0.71%"
"2018年09月12日","2.829","2.828","2.869","2.818","146.92K","0.04%"
"2018年09月11日","2.828","2.807","2.836","2.785","135.67K","0.86%"
"2018年09月10日","2.804","2.770","2.814","2.752","160.40K","1.01%"
"2018年09月07日","2.776","2.777","2.785","2.759","112.50K","0.14%"
"2018年09月06日","2.772","2.793","2.797","2.765","141.04K","-0.82%"
"2018年09月05日","2.795","2.815","2.843","2.786","138.64K","-0.99%"
"2018年09月04日","2.823","2.900","2.904","2.812","217.01K","-1.47%"
"2018年09月03日","2.865","2.896","2.896","2.820","-","-1.10%"
"2018年09月02日","2.897","2.901","2.902","2.882","-","-0.65%"
"2018年08月31日","2.916","2.886","2.931","2.882","121.71K","1.46%"
"2018年08月30日","2.874","2.875","2.890","2.841","116.91K","-0.73%"
"2018年08月29日","2.895","2.857","2.905","2.843","7.57K","1.51%"
"2018年08月28日","2.852","2.876","2.883","2.845","41.93K","-0.83%"
"2018年08月27日","2.876","2.908","2.915","2.874","61.68K","-1.41%"
"2018年08月24日","2.917","2.972","2.979","2.911","101.42K","-1.59%"
"2018年08月23日","2.964","2.958","2.982","2.935","106.84K","0.27%"
"2018年08月22日","2.956","2.991","2.993","2.953","96.25K","-0.81%"
"2018年08月21日","2.980","2.953","2.991","2.953","112.32K","1.33%"
"2018年08月20日","2.941","2.940","2.954","2.903","123.49K","-0.17%"
"2018年08月17日","2.946","2.908","2.968","2.908","119.42K","1.31%"
"2018年08月16日","2.908","2.939","2.949","2.891","125.46K","-1.09%"
"2018年08月15日","2.940","2.952","2.963","2.930","93.17K","-0.64%"
"2018年08月14日","2.959","2.926","2.974","2.922","123.29K","0.99%"
"2018年08月13日","2.930","2.936","2.946","2.897","126.59K","-0.48%"
"2018年08月10日","2.944","2.946","2.955","2.917","140.74K","-0.37%"
"2018年08月09日","2.955","2.943","2.959","2.930","177.24K","0.20%"
"2018年08月08日","2.949","2.893","2.951","2.884","195.74K","1.79%"
"2018年08月07日","2.897","2.861","2.900","2.857","153.53K","1.29%"
"2018年08月06日","2.860","2.851","2.865","2.822","99.79K","0.25%"
"2018年08月03日","2.853","2.819","2.862","2.814","150.12K","1.31%"
"2018年08月02日","2.816","2.745","2.828","2.740","176.00K","2.10%"
"2018年08月01日","2.758","2.780","2.788","2.744","118.79K","-0.86%"
"2018年07月31日","2.782","2.801","2.831","2.772","154.92K","-0.54%"
"2018年07月30日","2.797","2.794","2.814","2.766","124.25K","-0.89%"
"2018年07月27日","2.822","2.775","2.831","2.769","6.92K","1.51%"
"2018年07月26日","2.780","2.777","2.799","2.769","44.27K","0.18%"
"2018年07月25日","2.775","2.739","2.780","2.735","45.44K","1.57%"
"2018年07月24日","2.732","2.723","2.744","2.710","78.52K","0.40%"
"2018年07月23日","2.721","2.737","2.741","2.713","109.97K","-1.31%"
"2018年07月20日","2.757","2.767","2.784","2.754","92.13K","-0.43%"
"2018年07月19日","2.769","2.731","2.776","2.704","134.44K","1.76%"
"2018年07月18日","2.721","2.744","2.754","2.720","111.41K","-0.69%"
"2018年07月17日","2.740","2.768","2.788","2.731","109.35K","-0.69%"
"2018年07月16日","2.759","2.765","2.778","2.735","110.05K","0.25%"
"2018年07月13日","2.752","2.802","2.812","2.750","134.29K","-1.61%"
"2018年07月12日","2.797","2.822","2.827","2.789","114.89K","-1.13%"
"2018年07月11日","2.829","2.787","2.832","2.780","111.02K","1.47%"
"2018年07月10日","2.788","2.829","2.835","2.782","127.27K","-1.41%"
"2018年07月09日","2.828","2.839","2.865","2.817","126.58K","-1.05%"
"2018年07月06日","2.858","2.830","2.862","2.824","105.97K","0.74%"
"2018年07月05日","2.837","2.858","2.894","2.822","129.00K","-0.14%"
"2018年07月04日","2.841","2.849","2.893","2.822","-","-1.01%"
"2018年07月03日","2.870","2.861","2.903","2.852","121.58K","0.28%"
"2018年07月02日","2.862","2.920","2.927","2.852","165.52K","-2.12%"
"2018年06月29日","2.924","2.951","2.954","2.910","116.42K","-0.54%"
"2018年06月28日","2.940","2.988","3.021","2.930","157.12K","-1.87%"
"2018年06月27日","2.996","2.954","3.007","2.950","10.06K","1.94%"
"2018年06月26日","2.939","2.931","2.955","2.907","39.90K","0.55%"
"2018年06月25日","2.923","2.926","2.943","2.897","54.24K","-0.75%"
"2018年06月22日","2.945","2.982","2.991","2.926","101.30K","-1.01%"
"2018年06月21日","2.975","2.966","3.012","2.947","129.67K","0.37%"
"2018年06月20日","2.964","2.918","2.969","2.912","141.78K","2.21%"
"2018年06月19日","2.900","2.952","2.955","2.887","148.89K","-1.73%"
"2018年06月18日","2.951","3.051","3.053","2.945","164.89K","-2.35%"
"2018年06月15日","3.022","2.966","3.034","2.966","169.69K","1.92%"
"2018年06月14日","2.965","2.958","2.976","2.930","128.82K","0.07%"
"2018年06月13日","2.963","2.941","2.979","2.916","163.50K","0.82%"
"2018年06月12日","2.939","2.954","2.988","2.917","170.25K","-0.34%"
"2018年06月11日","2.949","2.927","2.966","2.912","192.02K","2.04%"
"2018年06月08日","2.890","2.934","2.936","2.875","158.58K","-1.37%"
"2018年06月07日","2.930","2.900","2.987","2.896","213.15K","1.17%"
"2018年06月06日","2.896","2.888","2.912","2.873","106.07K","0.21%"
"2018年06月05日","2.890","2.920","2.931","2.874","122.19K","-1.37%"
"2018年06月04日","2.930","2.974","2.980","2.923","100.05K","-1.08%"
"2018年06月01日","2.962","2.951","2.983","2.932","90.94K","0.34%"
"2018年05月31日","2.952","2.891","2.988","2.887","192.34K","2.32%"
"2018年05月30日","2.885","2.901","2.906","2.867","103.50K","0.35%"
"2018年05月29日","2.875","2.946","2.968","2.838","11.20K","-3.36%"
"2018年05月28日","2.975","2.964","3.001","2.940","-","1.22%"
"2018年05月25日","2.939","2.931","2.964","2.912","77.03K","-0.03%"
"2018年05月24日","2.940","2.924","2.941","2.904","66.35K","0.89%"
"2018年05月23日","2.914","2.902","2.939","2.898","111.80K","0.21%"
"2018年05月22日","2.908","2.827","2.917","2.816","181.13K","3.49%"
"2018年05月21日","2.810","2.826","2.847","2.806","127.05K","-1.30%"
"2018年05月18日","2.847","2.853","2.870","2.832","110.78K","-0.42%"
"2018年05月17日","2.859","2.817","2.862","2.780","182.97K","1.56%"
"2018年05月16日","2.815","2.827","2.844","2.809","105.94K","-0.74%"
"2018年05月15日","2.836","2.834","2.864","2.824","107.09K","-0.21%"
"2018年05月14日","2.842","2.825","2.847","2.798","130.61K","1.28%"
"2018年05月11日","2.806","2.808","2.820","2.793","119.50K","-0.28%"
"2018年05月10日","2.814","2.736","2.820","2.709","242.96K","2.81%"
"2018年05月09日","2.737","2.739","2.759","2.725","117.17K","0.18%"
"2018年05月08日","2.732","2.736","2.773","2.706","153.61K","-0.33%"
"2018年05月07日","2.741","2.710","2.770","2.695","160.12K","1.11%"
"2018年05月04日","2.711","2.731","2.742","2.702","113.28K","-0.55%"
"2018年05月03日","2.726","2.759","2.773","2.700","161.67K","-1.02%"
"2018年05月02日","2.754","2.805","2.811","2.745","126.75K","-1.71%"
"2018年05月01日","2.802","2.764","2.820","2.759","166.92K","1.41%"
"2018年04月30日","2.763","2.763","2.778","2.728","128.25K","-0.29%"
"2018年04月27日","2.771","2.826","2.834","2.768","129.33K","-1.77%"
"2018年04月26日","2.821","2.787","2.839","2.779","9.92K","1.26%"
"2018年04月25日","2.786","2.782","2.798","2.755","57.67K","0.18%"
"2018年04月24日","2.781","2.745","2.789","2.728","63.43K","1.50%"
"2018年04月23日","2.740","2.745","2.757","2.706","110.25K","0.04%"
"2018年04月20日","2.739","2.675","2.746","2.658","162.64K","2.97%"
"2018年04月19日","2.660","2.744","2.751","2.658","233.75K","-2.88%"
"2018年04月18日","2.739","2.741","2.790","2.734","128.92K","0.04%"
"2018年04月17日","2.738","2.747","2.761","2.711","94.02K","-0.51%"
"2018年04月16日","2.752","2.753","2.779","2.739","116.45K","0.62%"
"2018年04月13日","2.735","2.689","2.760","2.674","167.24K","1.82%"
"2018年04月12日","2.686","2.675","2.700","2.647","179.51K","0.41%"
"2018年04月11日","2.675","2.661","2.690","2.621","180.07K","0.72%"
"2018年04月10日","2.656","2.699","2.726","2.643","219.23K","-1.37%"
"2018年04月09日","2.693","2.679","2.704","2.640","220.80K","-0.30%"
"2018年04月06日","2.701","2.680","2.717","2.675","135.39K","0.97%"
"2018年04月05日","2.675","2.712","2.715","2.651","160.24K","-1.58%"
"2018年04月04日","2.718","2.696","2.746","2.675","139.58K","0.78%"
"2018年04月03日","2.697","2.679","2.707","2.667","112.56K","0.52%"
"2018年04月02日","2.683","2.730","2.759","2.650","165.21K","-1.83%"
"2018年03月29日","2.733","2.706","2.764","2.698","160.01K","1.30%"
"2018年03月28日","2.698","2.718","2.731","2.690","85.53K","0.26%"
"2018年03月27日","2.691","2.631","2.707","2.623","9.73K","2.79%"
"2018年03月26日","2.618","2.588","2.642","2.565","52.52K","1.04%"
"2018年03月23日","2.591","2.619","2.627","2.579","57.01K","-0.99%"
"2018年03月22日","2.617","2.648","2.667","2.611","103.06K","-0.80%"
"2018年03月21日","2.638","2.677","2.708","2.634","135.65K","-1.38%"
"2018年03月20日","2.675","2.660","2.695","2.650","126.46K","0.91%"
"2018年03月19日","2.651","2.683","2.710","2.640","115.51K","-1.38%"
"2018年03月16日","2.688","2.685","2.701","2.667","78.67K","0.26%"
"2018年03月15日","2.681","2.738","2.750","2.664","147.71K","-1.83%"
"2018年03月14日","2.731","2.787","2.798","2.710","146.22K","-1.97%"
"2018年03月13日","2.786","2.788","2.811","2.776","146.85K","0.29%"
"2018年03月12日","2.778","2.731","2.804","2.718","163.46K","1.68%"
"2018年03月09日","2.732","2.742","2.752","2.712","131.47K","-0.87%"
"2018年03月08日","2.756","2.786","2.793","2.737","148.18K","-0.76%"
"2018年03月07日","2.777","2.750","2.789","2.744","144.97K","1.02%"
"2018年03月06日","2.749","2.706","2.757","2.702","132.01K","1.66%"
"2018年03月05日","2.704","2.717","2.726","2.673","118.02K","0.33%"
"2018年03月02日","2.695","2.693","2.728","2.686","138.00K","-0.11%"
"2018年03月01日","2.698","2.668","2.731","2.642","206.39K","1.16%"
"2018年02月28日","2.667","2.693","2.710","2.659","133.15K","-0.60%"
"2018年02月27日","2.683","2.682","2.702","2.633","122.83K","1.67%"
"2018年02月26日","2.639","2.635","2.680","2.586","13.76K","0.53%"
"2018年02月23日","2.625","2.619","2.633","2.555","67.00K","-0.34%"
"2018年02月22日","2.634","2.657","2.670","2.607","60.42K","-0.94%"
"2018年02月21日","2.659","2.638","2.680","2.565","125.22K","1.64%"
"2018年02月20日","2.616","2.568","2.662","2.562","147.86K","0.38%"
"2018年02月19日","2.606","2.582","2.618","2.562","-","0.93%"
"2018年02月18日","2.582","2.570","2.587","2.568","-","0.94%"
"2018年02月16日","2.558","2.584","2.589","2.539","112.34K","-0.85%"
"2018年02月15日","2.580","2.613","2.623","2.530","163.82K","-0.27%"
"2018年02月14日","2.587","2.608","2.623","2.553","175.16K","-0.27%"
"2018年02月13日","2.594","2.566","2.642","2.562","203.10K","1.65%"
"2018年02月12日","2.552","2.554","2.607","2.538","196.43K","-1.24%"
"2018年02月09日","2.584","2.694","2.704","2.576","236.20K","-4.19%"
"2018年02月08日","2.697","2.702","2.758","2.681","191.59K","-0.19%"
"2018年02月07日","2.702","2.761","2.782","2.688","220.44K","-2.07%"
"2018年02月06日","2.759","2.767","2.785","2.695","185.16K","0.44%"
"2018年02月05日","2.747","2.825","2.880","2.736","200.18K","-3.48%"
"2018年02月02日","2.846","2.891","2.920","2.840","184.07K","-0.35%"
"2018年02月01日","2.856","2.956","2.978","2.837","359.41K","-4.64%"
"2018年01月31日","2.995","3.165","3.183","2.949","334.64K","-6.26%"
"2018年01月30日","3.195","3.187","3.259","3.161","257.76K","-12.01%"
"2018年01月29日","3.631","3.390","3.661","3.297","20.41K","3.59%"
"2018年01月26日","3.505","3.437","3.611","3.410","75.22K","1.68%"
"2018年01月25日","3.447","3.439","3.581","3.398","84.79K","-1.77%"
"2018年01月24日","3.509","3.541","3.624","3.404","213.63K","1.89%"
"2018年01月23日","3.444","3.254","3.628","3.249","291.38K","6.82%"
"2018年01月22日","3.224","3.252","3.269","3.143","201.68K","1.22%"
"2018年01月19日","3.185","3.198","3.246","3.133","224.67K","-0.13%"
"2018年01月18日","3.189","3.251","3.260","3.070","293.58K","-1.33%"
"2018年01月17日","3.232","3.125","3.288","3.098","283.97K","3.29%"
"2018年01月16日","3.129","3.131","3.176","3.039","332.45K","-0.13%"
"2018年01月15日","3.133","3.117","3.175","3.107","-","0.55%"
"2018年01月14日","3.116","3.124","3.124","3.091","-","-2.63%"
"2018年01月12日","3.200","3.137","3.224","3.070","415.93K","3.76%"
"2018年01月11日","3.084","2.906","3.139","2.884","405.11K","6.13%"
"2018年01月10日","2.906","2.962","2.989","2.869","254.16K","-0.58%"
"2018年01月09日","2.923","2.838","2.966","2.825","288.55K","3.10%"
"2018年01月08日","2.835","2.812","2.869","2.784","228.24K","1.43%"
"2018年01月05日","2.795","2.877","2.887","2.746","230.95K","-2.95%"
"2018年01月04日","2.880","3.015","3.070","2.840","319.71K","-4.26%"
"2018年01月03日","3.008","3.040","3.056","2.959","269.89K","-1.57%"
"2018年01月02日","3.056","3.030","3.097","2.923","320.18K","-0.84%"
