"日付け","終値","始値","高値","安値","出来高","前日比%"
"2018年09月13日","14.280","14.285","14.315","14.255","-","-0.04%"
"2018年09月12日","14.285","14.155","14.315","14.105","-","1.66%"
"2018年09月11日","14.052","14.110","14.110","13.910","0.10K","-0.19%"
"2018年09月10日","14.079","14.040","14.145","14.040","0.07K","-0.82%"
"2018年09月09日","14.195","14.170","14.205","14.170","-","0.91%"
"2018年09月07日","14.067","14.095","14.140","14.040","0.13K","-0.06%"
"2018年09月06日","14.075","14.130","14.225","14.050","0.19K","-0.30%"
"2018年09月05日","14.118","14.085","14.165","14.050","0.24K","0.41%"
"2018年09月04日","14.061","14.450","14.450","13.960","0.75K","-3.16%"
"2018年09月03日","14.520","14.560","14.590","14.430","-","-0.27%"
"2018年09月02日","14.560","14.565","14.575","14.550","-","0.84%"
"2018年08月31日","14.438","14.485","14.650","14.425","0.61K","-0.27%"
"2018年08月30日","14.477","14.685","14.710","14.430","15.96K","-1.48%"
"2018年08月29日","14.695","14.680","14.725","14.585","-","-0.49%"
"2018年08月28日","14.767","14.820","14.820","14.820","0.00K","-0.59%"
"2018年08月27日","14.855","14.830","14.885","14.715","-","0.17%"
"2018年08月26日","14.830","14.835","14.840","14.800","-","0.35%"
"2018年08月24日","14.779","14.470","14.820","14.470","0.04K","1.73%"
"2018年08月23日","14.527","14.625","14.625","14.485","0.00K","-1.41%"
"2018年08月22日","14.735","14.700","14.700","14.700","0.00K","-0.17%"
"2018年08月21日","14.760","14.750","14.830","14.705","-","0.72%"
"2018年08月20日","14.655","14.700","14.700","14.630","0.02K","-0.75%"
"2018年08月19日","14.765","14.750","14.775","14.740","-","1.02%"
"2018年08月17日","14.616","14.625","14.750","14.595","0.02K","-0.55%"
"2018年08月16日","14.697","14.660","14.710","14.635","0.14K","1.91%"
"2018年08月15日","14.421","15.040","15.040","14.395","0.19K","-4.12%"
"2018年08月14日","15.040","14.985","15.105","14.975","-","0.58%"
"2018年08月13日","14.953","15.240","15.240","14.965","0.01K","-2.43%"
"2018年08月12日","15.325","15.310","15.345","15.310","-","0.39%"
"2018年08月10日","15.266","15.425","15.425","15.280","0.02K","-1.16%"
"2018年08月09日","15.445","15.435","15.525","15.380","-","0.45%"
"2018年08月08日","15.376","15.390","15.390","15.390","0.00K","-0.19%"
"2018年08月07日","15.405","15.325","15.505","15.310","-","0.49%"
"2018年08月06日","15.330","15.450","15.505","15.295","-","-0.81%"
"2018年08月05日","15.455","15.425","15.455","15.425","-","0.32%"
"2018年08月03日","15.406","15.455","15.455","15.455","0.01K","0.50%"
"2018年08月02日","15.329","15.375","15.375","15.260","0.18K","-0.42%"
