6954 東証1部 ファナック(株)（電気機器）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2018-01-04","27520","28810","27465","28795","1489900","28795"
"2018-01-05","29200","29775","29005","29680","1423900","29680"
"2018-01-09","30180","30200","29735","29875","898300","29875"
"2018-01-10","30100","30540","29985","30350","1414300","30350"
"2018-01-11","30080","30740","30020","30740","1119700","30740"
"2018-01-12","31050","31750","31010","31650","1696200","31650"
"2018-01-15","32350","32520","31580","31920","1270400","31920"
"2018-01-16","32090","33450","32030","33450","1252500","33450"
"2018-01-17","32780","32940","32210","32300","2416200","32300"
"2018-01-18","32130","32600","31440","31870","2610600","31870"
"2018-01-19","32100","32100","31460","31710","1121200","31710"
"2018-01-22","31850","31990","31520","31990","908800","31990"
"2018-01-23","31990","32090","31620","31900","1083700","31900"
"2018-01-24","31400","31430","30720","30730","1558000","30730"
"2018-01-25","29800","30690","29510","30470","1898400","30470"
"2018-01-26","30450","30820","30260","30560","1224200","30560"
"2018-01-29","31960","31960","30400","30630","1993100","30630"
"2018-01-30","30920","30960","29605","29670","1921000","29670"
"2018-01-31","29170","29980","29060","29475","1613200","29475"
"2018-02-01","29850","30170","29680","30050","1028600","30050"
"2018-02-02","30240","30290","29590","29660","959700","29660"
"2018-02-05","28900","29250","28680","29025","1823100","29025"
"2018-02-06","27800","28300","26515","27705","3441000","27705"
"2018-02-07","28700","28715","27130","27150","2573400","27150"
"2018-02-08","27500","28235","27490","28120","1891300","28120"
"2018-02-09","27155","27360","26650","27000","2550900","27000"
"2018-02-13","28000","28000","26780","26815","1734600","26815"
"2018-02-14","27050","27215","26120","26445","1514300","26445"
"2018-02-15","27100","27210","26710","27000","1169500","27000"
"2018-02-16","27395","27505","26930","27160","1135900","27160"
"2018-02-19","27615","28190","27415","28160","1059800","28160"
"2018-02-20","27850","27860","27340","27465","1048500","27465"
"2018-02-21","27600","27875","27300","27575","1182200","27575"
"2018-02-22","27450","27645","26995","27060","1405500","27060"
"2018-02-23","27280","27320","26955","27125","916900","27125"
"2018-02-26","27550","27830","27210","27380","982500","27380"
"2018-02-27","27860","28110","27770","27875","1282900","27875"
"2018-02-28","27500","27785","27270","27310","1147500","27310"
"2018-03-01","27150","27175","26645","27000","1409800","27000"
"2018-03-02","26310","26575","26085","26395","1523300","26395"
"2018-03-05","26005","26120","25585","25675","1012100","25675"
"2018-03-06","26085","26515","26085","26235","1053300","26235"
"2018-03-07","26000","26225","25685","25760","1135800","25760"
"2018-03-08","26100","26450","26020","26140","1170700","26140"
"2018-03-09","26570","26860","25975","26185","1907000","26185"
"2018-03-12","27150","27350","26865","27255","1320200","27255"
"2018-03-13","27435","27510","27050","27490","999700","27490"
"2018-03-14","27290","27400","27090","27230","1002900","27230"
"2018-03-15","27200","27210","26725","27070","928600","27070"
"2018-03-16","27200","27205","26545","26630","1225900","26630"
"2018-03-19","26560","27055","26530","26800","895000","26800"
"2018-03-20","26500","26500","25830","25920","1230400","25920"
"2018-03-22","26220","26865","26130","26865","1357200","26865"
"2018-03-23","25690","26035","25310","25695","2760700","25695"
"2018-03-26","25210","26270","25145","26265","1498400","26265"
"2018-03-27","26450","26740","26150","26740","1680600","26740"
"2018-03-28","26030","26760","25985","26675","1691800","26675"
"2018-03-29","26865","26900","26360","26570","1244100","26570"
"2018-03-30","27070","27075","26730","26960","1058400","26960"
"2018-04-02","27000","27160","26725","26725","706000","26725"
"2018-04-03","26050","26145","25685","26040","1432400","26040"
"2018-04-04","26390","26390","25705","25710","964600","25710"
"2018-04-05","26150","26195","25755","26055","921100","26055"
"2018-04-06","26350","26880","25800","25810","1657700","25810"
"2018-04-09","25800","25905","25320","25600","1113700","25600"
"2018-04-10","25555","26585","25375","26445","1464600","26445"
"2018-04-11","26610","27120","26565","26985","1066500","26985"
"2018-04-12","26865","26880","26370","26445","1008500","26445"
"2018-04-13","26745","27030","26650","26675","1029600","26675"
"2018-04-16","26695","26805","26255","26315","740200","26315"
