9983 東証1部 (株)ファーストリテイリング（小売業）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2012-01-04","14050","14050","13700","13720","559100","13720"
"2012-01-05","13720","13840","13600","13800","511500","13800"
"2012-01-06","13990","14030","13790","13850","765500","13850"
"2012-01-10","13890","14390","13860","14390","952300","14390"
"2012-01-11","14360","14750","14280","14590","1043400","14590"
"2012-01-12","14520","14600","14330","14520","540500","14520"
"2012-01-13","14740","14780","14450","14770","1543700","14770"
"2012-01-16","14610","14670","14530","14610","360100","14610"
"2012-01-17","14640","14820","14630","14750","442100","14750"
"2012-01-18","14780","15000","14740","14980","650300","14980"
"2012-01-19","14980","15060","14930","14950","507200","14950"
"2012-01-20","14990","14990","14680","14680","778200","14680"
"2012-01-23","14630","14790","14590","14720","541800","14720"
"2012-01-24","14770","15110","14740","15100","714700","15100"
"2012-01-25","15100","15100","14920","14920","500400","14920"
"2012-01-26","14900","15020","14860","14970","379900","14970"
"2012-01-27","14760","15030","14750","15030","814400","15030"
"2012-01-30","15070","15200","14910","15000","472200","15000"
"2012-01-31","15020","15200","15010","15150","639900","15150"
"2012-02-01","15080","15250","14930","15220","491700","15220"
"2012-02-02","15440","15480","15310","15470","531700","15470"
"2012-02-03","15450","15520","15290","15440","604200","15440"
"2012-02-06","15600","15830","15540","15810","527600","15810"
"2012-02-07","15740","15780","15560","15620","470800","15620"
"2012-02-08","15790","16030","15740","16000","773900","16000"
"2012-02-09","15900","15910","15630","15710","700900","15710"
"2012-02-10","15680","15680","15460","15470","1007500","15470"
"2012-02-13","15500","15650","15320","15630","453200","15630"
"2012-02-14","15500","15770","15470","15710","528900","15710"
"2012-02-15","15780","16200","15740","16120","953500","16120"
"2012-02-16","16120","16180","15910","15970","542300","15970"
"2012-02-17","16230","16520","16150","16440","1022600","16440"
"2012-02-20","16840","16840","16430","16450","552200","16450"
"2012-02-21","16360","16480","16230","16450","575800","16450"
"2012-02-22","16450","16670","16410","16610","648600","16610"
"2012-02-23","16570","16820","16540","16690","779500","16690"
"2012-02-24","16700","16730","16590","16680","600800","16680"
"2012-02-27","16670","16670","16300","16380","535800","16380"
"2012-02-28","16390","16720","16250","16720","562800","16720"
"2012-02-29","16750","17030","16710","16830","756300","16830"
"2012-03-01","16770","17070","16750","16960","653900","16960"
"2012-03-02","16970","17000","16810","16850","625300","16850"
"2012-03-05","16940","17210","16850","17080","698500","17080"
"2012-03-06","17120","17350","17000","17020","736100","17020"
"2012-03-07","16780","16950","16760","16790","745300","16790"
"2012-03-08","17000","17400","16920","17400","921100","17400"
"2012-03-09","17780","17800","17470","17660","3354800","17660"
