9984 東証1部 ソフトバンクグループ(株)（情報・通信）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2017-01-04","7850","8016","7850","7995","7886900","7995"
"2017-01-05","8030","8200","7999","8153","11837300","8153"
"2017-01-06","8082","8383","8075","8363","13835300","8363"
"2017-01-10","8500","8590","8368","8423","12725000","8423"
"2017-01-11","8500","8535","8380","8495","7789300","8495"
"2017-01-12","8480","8517","8395","8430","6894100","8430"
"2017-01-13","8414","8508","8354","8477","5896500","8477"
"2017-01-16","8451","8480","8350","8350","5054400","8350"
"2017-01-17","8300","8304","8145","8179","6467100","8179"
"2017-01-18","8090","8273","8034","8242","7295500","8242"
"2017-01-19","8353","8420","8295","8329","6258000","8329"
"2017-01-20","8343","8482","8301","8450","7098700","8450"
"2017-01-23","8415","8439","8351","8380","7149800","8380"
"2017-01-24","8315","8550","8306","8428","7887500","8428"
"2017-01-25","8648","8725","8614","8687","10638100","8687"
"2017-01-26","8772","8960","8765","8956","12706000","8956"
"2017-01-27","8983","9066","8920","8977","10963300","8977"
"2017-01-30","8900","8967","8833","8853","6160500","8853"
"2017-01-31","8703","8822","8688","8701","7696500","8701"
"2017-02-01","8650","8814","8636","8805","6654700","8805"
"2017-02-02","8872","8874","8653","8686","5995600","8686"
"2017-02-03","8720","8747","8492","8531","8730100","8531"
"2017-02-06","8631","8707","8590","8653","5362200","8653"
"2017-02-07","8551","8734","8551","8664","5033900","8664"
"2017-02-08","8700","8700","8545","8684","5227400","8684"
"2017-02-09","8800","8976","8700","8734","11207900","8734"
"2017-02-10","8900","8900","8751","8792","7852000","8792"
"2017-02-13","8830","8830","8655","8659","6249500","8659"
"2017-02-14","8719","8742","8509","8535","6739200","8535"
"2017-02-15","8650","8728","8545","8670","6562400","8670"
"2017-02-16","8750","8759","8606","8657","6243800","8657"
"2017-02-17","8600","8620","8503","8518","5755900","8518"
"2017-02-20","8700","8810","8656","8789","8769900","8789"
"2017-02-21","8762","8790","8680","8716","6380400","8716"
"2017-02-22","8770","8770","8702","8728","4435300","8728"
"2017-02-23","8726","8728","8585","8642","5234600","8642"
"2017-02-24","8576","8672","8576","8600","3920400","8600"
"2017-02-27","8520","8546","8393","8393","7782800","8393"
"2017-02-28","8431","8490","8362","8362","17526600","8362"
"2017-03-01","8434","8650","8405","8583","11305300","8583"
"2017-03-02","8700","8710","8579","8579","6060000","8579"
"2017-03-03","8535","8572","8394","8440","6093500","8440"
"2017-03-06","8419","8492","8388","8439","3425600","8439"
"2017-03-07","8422","8495","8395","8478","4359100","8478"
"2017-03-08","8461","8479","8356","8426","6454700","8426"
"2017-03-09","8437","8440","8315","8328","5349400","8328"
"2017-03-10","8372","8395","8316","8365","6653000","8365"
"2017-03-13","8328","8463","8324","8413","3797100","8413"
"2017-03-14","8395","8460","8365","8434","3844300","8434"
"2017-03-15","8406","8428","8341","8380","3028300","8380"
"2017-03-16","8342","8564","8341","8523","6281200","8523"
"2017-03-17","8490","8508","8402","8432","4484700","8432"
"2017-03-21","8380","8386","8212","8274","6583400","8274"
"2017-03-22","8050","8100","8025","8053","6796100","8053"
"2017-03-23","8025","8135","8001","8049","4841100","8049"
"2017-03-24","8040","8077","8009","8011","5281700","8011"
"2017-03-27","7929","7964","7837","7862","5969900","7862"
"2017-03-28","7898","7984","7852","7932","5724700","7932"
"2017-03-29","8004","8070","7990","8034","4894000","8034"
"2017-03-30","8034","8055","7917","7932","4534900","7932"
"2017-03-31","7970","8025","7862","7862","4738100","7862"
"2017-04-03","7910","7928","7800","7883","4772200","7883"
"2017-04-04","7811","7840","7723","7751","5584600","7751"
